# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\AAj96_\AAj96\AAj96_Encodage-categorisation_set1_inv_14_03_22_2022.04.21_11.18.27.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\AAj96_\AAj96\Export_2023-03-24_16-33-47_categorisation.csv
# ExportDate: 24/03/2023 16:33:47
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: AAj96 AAj96
# DateOfBirth: 11/11/1996
# ExamDate: 21/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;3.780;7.023;-3.738;5.035;510;464;505;453;;
5;3.715;6.846;-3.728;5.124;510;464;501;453;;
8;3.843;6.751;-3.803;5.034;498;451;501;451;;
11;3.779;6.663;-3.738;5.035;496;451;499;448;Fixation=ani_nat_set1_C_08: trial n°0; 
15;3.716;7.026;-3.685;4.947;512;462;499;455;;
18;3.843;7.021;-3.663;5.125;501;462;499;451;;
21;3.780;7.023;-3.728;5.124;503;464;501;448;;
25;3.779;6.843;-3.814;4.945;501;464;499;448;;
28;3.715;6.756;-3.738;5.035;503;448;496;448;;
32;3.779;6.843;-3.728;5.124;499;448;496;448;;
35;3.715;6.576;-3.706;5.303;503;445;499;464;;
38;3.716;7.116;-3.728;5.124;508;464;510;464;;
42;3.843;7.111;-3.706;5.303;507;464;501;462;;
45;3.779;6.933;-3.706;5.303;533;464;501;464;;
48;3.715;6.846;-3.685;4.947;508;464;505;453;;
52;3.779;6.933;-3.835;5.301;503;464;512;464;;
55;3.716;7.116;-3.728;5.124;508;464;501;455;;
58;3.651;6.848;-3.663;5.125;506;464;496;451;;
62;3.779;6.843;-3.738;5.035;533;464;496;451;;
65;3.716;6.936;-3.663;5.125;508;460;501;458;;
68;3.716;7.026;-3.663;5.125;508;464;496;448;;
72;3.651;6.848;-3.835;5.301;506;464;510;460;;
75;3.779;6.933;-3.717;5.214;516;458;503;464;;
78;3.652;7.118;-3.824;5.391;510;464;503;464;;
82;3.651;6.848;-3.792;5.123;514;451;499;451;;
85;3.716;6.936;-3.803;5.034;501;464;501;448;;
88;3.716;7.026;-3.759;5.392;501;464;510;466;;
92;3.651;6.848;-3.857;5.122;510;464;499;448;;
95;3.651;6.848;-3.717;5.214;508;453;503;451;;
98;3.716;7.116;-3.781;5.213;514;464;501;453;;
102;3.716;7.026;-3.717;5.214;510;464;499;451;;
105;3.716;7.116;-3.717;5.214;510;464;503;464;;
108;3.651;6.848;-3.738;5.035;514;464;503;455;;
112;3.716;6.936;-3.792;5.123;508;460;503;448;;
115;3.651;6.848;-3.717;5.214;510;464;503;451;;
119;3.716;7.116;-3.695;5.393;508;461;503;464;;
122;3.716;6.936;-3.792;5.123;501;464;499;448;;
125;3.588;7.031;-3.759;5.392;514;464;506;464;;
129;3.716;7.116;-3.684;5.482;514;464;501;464;;
132;3.716;6.936;-3.759;5.392;501;448;508;464;;
135;3.652;7.118;-3.781;5.213;517;464;503;453;;
139;3.652;7.208;-3.738;5.035;508;464;501;451;;
142;3.780;7.384;-3.759;5.392;525;464;506;464;;
145;3.652;7.118;-3.770;5.302;512;464;503;458;;
149;3.652;7.028;-3.684;5.482;510;464;501;464;;
152;3.780;7.203;-3.759;5.392;505;464;501;464;;
155;3.716;7.116;-3.748;5.481;510;464;503;460;;
159;3.716;7.386;-3.684;5.482;508;464;501;464;;
162;3.780;7.113;-3.695;5.393;505;464;501;452;;
165;3.716;7.296;-3.813;5.480;517;464;506;464;;
169;3.716;7.296;-3.748;5.481;517;464;506;464;;
172;3.716;7.296;-3.748;5.481;518;464;503;464;;
175;3.844;7.381;-3.672;5.572;524;464;503;464;;
179;3.653;7.389;-3.759;5.392;508;464;506;464;;
182;3.780;7.203;-3.748;5.481;509;464;506;464;;
185;3.716;6.936;-3.684;5.482;510;460;503;464;;
189;3.780;7.293;-3.684;5.482;515;464;503;464;;
192;3.844;7.291;-3.706;5.303;526;464;503;458;;
195;3.716;7.116;-3.748;5.481;506;461;503;464;;
199;3.844;7.381;-3.619;5.483;512;464;506;464;;
202;3.780;7.113;-3.748;5.481;510;464;503;464;;
205;3.780;7.113;-3.619;5.483;505;464;501;464;;
209;3.716;7.386;-3.684;5.482;510;464;501;464;;
212;3.780;7.293;-3.641;5.304;514;464;512;464;;
216;3.716;7.116;-3.684;5.482;518;464;503;464;;
219;3.908;7.288;-3.759;5.392;516;464;510;464;;
222;3.653;7.389;-3.684;5.482;519;464;503;464;;
226;3.716;7.386;-3.737;5.571;514;464;510;464;;
229;3.780;7.293;-3.695;5.393;512;464;503;460;;
232;3.652;7.028;-3.706;5.303;510;462;501;455;;
236;3.780;7.293;-3.737;5.571;523;464;503;464;;
239;3.780;7.384;-3.672;5.572;516;464;508;464;;
242;3.716;7.206;-3.684;5.482;531;464;506;464;;
246;3.907;7.108;-3.620;4.948;528;464;501;451;;
249;4.098;6.651;-3.491;4.950;509;448;498;451;;
252;4.162;6.469;-3.384;4.774;514;455;498;453;;
256;4.418;6.460;-3.276;4.599;518;464;505;450;;
259;4.482;6.548;-3.469;4.595;525;466;496;448;;
262;4.418;6.280;-3.416;4.507;516;448;498;446;;
266;4.354;6.552;-3.469;4.595;518;462;496;445;;
269;4.354;6.372;-3.469;4.595;518;457;498;448;;
272;4.226;6.287;-3.426;4.418;514;448;496;442;;
276;4.226;6.377;-3.502;4.861;514;451;496;468;;
279;4.290;6.464;-3.491;4.417;516;451;496;444;;
282;4.354;6.372;-3.459;4.684;518;455;496;448;;
286;4.290;6.375;-3.405;4.596;514;453;496;453;;
289;4.290;6.554;-3.394;4.685;516;466;502;448;;
292;4.354;6.372;-3.394;4.685;518;451;496;451;;
296;4.290;6.375;-3.416;4.507;514;448;496;448;;
299;4.418;6.460;-3.340;4.598;528;458;496;448;;
303;4.418;6.730;-3.394;4.685;518;458;496;448;;
306;4.290;6.644;-3.340;4.598;514;460;496;448;;
309;4.354;6.552;-3.416;4.507;514;451;496;448;;
313;4.290;6.464;-3.491;4.417;514;464;496;446;;
316;4.226;6.557;-3.394;4.685;509;448;496;448;;
319;4.226;6.646;-3.426;4.418;512;464;496;446;;
323;4.162;6.559;-3.351;4.509;500;448;496;446;;
326;4.226;6.557;-3.491;4.417;505;451;496;446;;
329;4.290;6.644;-3.426;4.418;512;451;496;448;;
333;4.226;6.826;-3.426;4.418;496;451;496;448;;
336;4.226;6.557;-3.534;4.594;496;448;496;448;;
339;4.226;6.736;-3.469;4.595;494;451;496;444;;
343;4.354;6.642;-3.437;4.329;492;448;491;435;;
346;4.354;6.912;-3.416;4.507;505;464;494;451;;
349;4.354;6.732;-3.545;4.505;496;448;491;432;;
353;4.418;6.640;-3.523;4.683;490;451;494;446;;
356;4.418;6.820;-3.480;4.506;487;436;491;439;;
359;4.482;6.638;-3.437;4.862;483;448;489;441;;
363;4.546;6.546;-3.534;4.594;487;441;489;443;;
366;4.418;6.640;-3.523;4.683;483;430;487;435;;
369;4.482;6.728;-3.469;4.595;487;443;494;443;;
373;4.418;6.820;-3.469;4.595;478;434;478;422;;
376;4.482;6.817;-3.534;4.594;480;432;475;425;;
379;4.546;6.905;-3.405;4.596;476;434;476;425;;
383;4.674;6.541;-3.232;4.423;474;438;466;425;;
386;4.674;6.631;-3.297;4.421;467;432;461;422;;
390;4.801;6.717;-3.222;4.512;464;434;469;425;;
393;4.674;6.452;-3.222;4.512;464;432;469;425;;
396;4.737;6.809;-3.222;4.512;464;438;453;422;;
400;4.802;6.358;-3.286;4.510;464;423;455;422;;
403;4.674;6.541;-3.340;4.598;464;432;450;420;;
406;4.738;6.539;-3.276;4.599;464;412;450;420;;
410;4.673;6.811;-3.405;4.596;464;425;448;411;;
413;4.609;6.813;-3.286;4.510;464;425;448;411;;
416;4.674;6.452;-3.276;4.599;464;412;450;416;;
420;4.673;6.811;-3.286;4.510;464;425;446;411;;
423;4.673;6.901;-3.243;4.334;464;425;441;400;;
426;4.674;6.631;-3.351;4.509;464;416;441;400;;
430;4.737;6.629;-3.416;4.507;464;414;438;402;;
433;4.801;6.898;-3.447;4.241;464;422;434;393;;
436;4.737;6.629;-3.382;4.242;464;422;438;398;;
440;4.801;6.627;-3.437;4.329;464;423;438;391;;
443;4.738;6.539;-3.532;4.062;464;414;432;393;;
446;4.738;6.539;-3.491;4.417;461;404;432;395;;
450;4.738;6.539;-3.501;4.328;461;406;432;391;;
453;4.738;6.539;-3.480;4.506;457;412;432;395;;
456;4.674;6.541;-3.545;4.505;450;402;432;402;;
460;4.802;6.537;-3.416;4.507;464;413;436;402;;
463;4.802;6.537;-3.416;4.507;461;409;432;389;;
466;4.802;6.537;-3.426;4.418;457;402;432;389;;
470;4.674;6.631;-3.426;4.418;454;400;432;387;;
473;4.546;6.635;-3.491;4.417;450;402;432;382;;
477;4.546;6.725;-3.491;4.417;448;410;432;386;;
480;4.609;6.813;-3.426;4.418;448;400;432;380;;
483;4.610;6.633;-3.437;4.329;446;403;432;384;;
487;4.673;6.721;-3.426;4.418;450;400;432;384;;
490;4.674;6.541;-3.437;4.329;446;403;430;382;;
493;4.802;6.537;-3.447;4.241;441;403;428;375;;
497;4.930;6.444;-3.339;4.066;444;402;428;373;;
500;4.930;6.444;-3.403;4.065;441;406;428;368;;
503;4.930;6.444;-3.339;4.066;430;402;426;371;;
507;4.865;6.536;-3.339;4.066;432;400;428;368;;
510;4.865;6.536;-3.403;4.065;437;407;428;368;;
513;4.802;6.448;-3.403;4.065;439;402;428;368;;
517;4.737;6.719;-3.393;4.153;436;416;430;368;;
520;4.610;6.543;-3.284;3.979;435;400;423;368;;
523;4.802;6.537;-3.284;3.979;425;400;426;368;;
