# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\ACj01_\ACj01\ACj01_Encodage-catégorisation_set2_inv_14_03_22_2022.04.07_15.08.20.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\ACj01_\ACj01\Export_2023-03-24_16-36-07_categorisation.csv
# ExportDate: 24/03/2023 16:36:07
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: ACj01 ACj01
# DateOfBirth: 11/11/2001
# ExamDate: 07/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;-1.371;3.567;-7.000;3.630;528;448;505;432;;
5;-1.222;3.481;-7.003;3.534;539;448;528;455;;
8;-1.146;3.394;-6.929;3.438;526;448;519;432;;
12;-1.369;3.477;-6.772;3.533;526;448;512;432;;
15;-1.222;3.481;-7.085;3.342;524;448;501;432;;
18;-1.150;3.573;-6.846;3.630;528;448;508;425;;
22;-1.224;3.571;-6.846;3.630;530;448;530;455;;
25;-1.222;3.481;-7.077;3.631;530;451;496;432;;
28;-1.148;3.483;-6.843;3.726;530;448;510;429;;
32;-1.295;3.479;-6.772;3.533;530;448;515;432;;
35;-1.219;3.392;-7.006;3.438;524;448;518;434;;
38;-1.222;3.481;-6.849;3.534;528;446;496;425;Fixation=ani_art_set2_I_13: trial n°0; 
42;-1.146;3.394;-6.846;3.630;528;448;519;434;;
45;-1.222;3.481;-6.769;3.630;526;448;514;432;;
48;-1.222;3.481;-7.003;3.534;524;448;510;432;;
52;-1.295;3.479;-6.926;3.534;524;448;523;434;;
55;-1.148;3.483;-6.769;3.630;539;448;501;429;;
58;-1.298;3.569;-6.849;3.534;526;448;505;432;;
62;-1.222;3.481;-6.926;3.534;524;448;507;432;;
65;-1.148;3.483;-7.003;3.534;524;448;514;432;;
68;-1.222;3.481;-6.920;3.727;526;448;507;432;;
72;-1.217;3.302;-6.846;3.630;526;448;514;432;;
75;-1.076;3.575;-7.000;3.630;546;450;510;432;;
78;-1.152;3.662;-6.929;3.438;541;469;521;434;;
82;-1.224;3.571;-6.846;3.630;530;448;505;432;;
85;-1.148;3.483;-6.920;3.727;524;446;499;429;;
88;-1.295;3.479;-6.929;3.438;524;448;503;432;;
92;-1.222;3.481;-6.846;3.630;524;448;514;434;;
95;-1.371;3.567;-6.923;3.630;524;448;508;432;;
98;-1.222;3.481;-7.154;3.631;537;457;516;432;;
102;-1.219;3.392;-6.852;3.437;530;448;499;432;;
105;-1.219;3.392;-7.083;3.438;522;439;494;429;;
109;-1.148;3.483;-6.846;3.630;524;448;510;432;;
112;-1.074;3.485;-7.000;3.630;544;453;505;429;;
115;-1.150;3.573;-7.003;3.534;524;448;503;432;;
119;-1.224;3.571;-7.225;3.824;526;448;508;432;;
122;-1.367;3.388;-7.006;3.438;524;450;505;432;;
125;-1.072;3.396;-7.003;3.534;534;448;500;432;;
129;-1.148;3.483;-7.077;3.631;535;450;496;432;;
132;-1.293;3.390;-7.157;3.535;524;446;512;434;;
135;-1.514;3.384;-7.074;3.727;526;448;496;427;;
139;-1.152;3.662;-6.769;3.630;528;455;493;430;;
142;-1.298;3.569;-7.154;3.631;521;448;523;432;;
145;-0.926;3.490;-6.846;3.630;535;448;489;429;;
149;-1.217;3.302;-7.008;3.341;524;437;494;423;;
152;-1.298;3.569;-7.000;3.630;524;448;519;432;;
155;-1.148;3.483;-7.000;3.630;522;448;498;432;;
159;-1.219;3.392;-6.849;3.534;514;446;501;432;;
162;-1.148;3.483;-7.006;3.438;519;448;494;432;;
165;-1.222;3.481;-7.003;3.534;516;444;512;432;;
169;-1.219;3.392;-7.003;3.534;514;446;498;432;;
172;-1.298;3.569;-6.926;3.534;522;448;503;432;;
175;-1.141;3.215;-6.846;3.630;516;439;512;432;;
179;-1.150;3.573;-6.840;3.823;526;451;485;425;;
182;-1.222;3.481;-7.080;3.535;526;448;498;432;;
185;-1.295;3.479;-7.071;3.823;512;444;516;432;;
189;-1.222;3.481;-6.846;3.630;522;448;524;432;;
192;-1.146;3.394;-6.849;3.534;522;448;491;427;;
196;-1.222;3.481;-7.074;3.727;526;448;489;421;;
199;-1.150;3.573;-7.154;3.631;517;434;505;432;;
202;-1.146;3.394;-7.077;3.631;514;444;498;430;;
206;-1.150;3.573;-6.849;3.534;528;451;496;429;;
209;-1.072;3.396;-7.154;3.631;517;448;484;427;;
212;-1.148;3.483;-7.014;3.148;526;448;496;420;;
216;-1.002;3.577;-7.006;3.438;517;448;475;423;;
219;-0.625;3.320;-6.470;3.244;508;435;505;426;;
222;-0.394;3.059;-6.081;3.245;503;432;489;432;;
226;0.438;2.732;-5.847;3.246;514;432;499;430;;
229;1.343;2.684;-5.064;3.157;524;448;494;434;;
232;1.949;2.717;-4.834;2.771;517;434;493;416;;
236;2.481;2.748;-4.117;2.882;502;434;496;416;;
239;2.567;2.483;-3.958;2.788;514;434;489;419;;
242;3.036;2.241;-3.883;2.399;514;448;491;423;;
246;3.036;2.241;-3.879;2.692;518;450;507;423;;
249;2.956;2.327;-3.802;2.498;512;443;508;435;;
252;2.883;2.231;-3.799;2.694;512;450;485;416;;
256;2.890;2.051;-4.037;2.883;512;448;489;416;;
259;2.890;2.051;-3.803;2.401;507;446;501;414;;
262;2.974;1.876;-3.878;2.789;523;464;480;416;;
266;2.734;2.132;-3.797;2.889;516;454;489;421;;
269;3.117;2.156;-3.640;2.600;528;461;498;421;;
272;3.117;2.156;-4.123;2.394;528;452;473;400;;
276;2.644;2.487;-3.958;2.788;500;432;493;416;;
279;2.730;2.222;-4.120;2.687;498;436;494;418;;
283;2.880;2.322;-3.878;2.789;508;432;480;416;;
286;2.727;2.312;-3.881;2.594;512;443;485;421;;
289;2.651;2.307;-4.041;2.591;505;434;477;405;;
293;2.967;2.056;-3.879;2.692;514;448;492;412;;
296;2.647;2.397;-3.960;2.690;496;428;487;414;;
