# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\AGj02\AGj02_Encodage-categorisation_set2_14_03_22_2024.04.12_16.01.30.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\AGj02\Export_2024-04-13_16-10-02_categorisation.csv
# ExportDate: 13/04/2024 16:10:02
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: AGj02 AGj02
# DateOfBirth: 01/01/2002
# ExamDate: 12/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;1.396;0.208;-6.011;-6.311;464;441;501;475;;
4;-0.324;-1.027;-7.582;-5.935;483;448;502;474;;
7;-1.708;-1.409;-8.581;-5.769;477;448;515;478;;
10;-2.353;-0.894;-9.690;-5.742;476;448;501;480;;
14;-3.183;-0.635;-10.633;-5.547;485;443;519;480;;
17;-3.954;-0.275;-11.632;-5.414;473;455;498;487;;
21;-4.289;-0.337;-12.206;-5.217;464;457;508;492;;
24;-4.692;-0.391;-12.641;-5.186;478;459;523;494;;
27;-4.616;-0.495;-12.711;-5.100;476;455;523;494;;
31;-4.577;-0.113;-12.649;-5.104;471;435;528;496;;
34;-4.570;-0.211;-12.517;-5.195;476;450;526;490;;
37;-4.562;-0.308;-12.463;-5.118;474;450;524;494;;
41;-4.570;-0.211;-12.455;-5.199;474;450;524;490;;
44;-4.745;-0.577;-12.525;-5.113;478;455;524;492;;
47;-4.745;-0.577;-12.463;-5.118;476;453;524;494;;
51;-4.936;-0.749;-12.463;-5.118;483;461;526;494;;
54;-4.775;-0.189;-12.517;-5.195;476;448;522;484;;
57;-4.821;-0.473;-12.455;-5.199;478;457;524;494;;
61;-4.729;0.097;-12.595;-5.027;476;450;524;491;;
64;-4.890;-0.466;-12.525;-5.113;478;450;524;494;;
67;-4.966;-0.361;-12.595;-5.027;483;450;524;494;;
71;-4.958;-0.458;-12.657;-5.023;483;455;524;484;;
74;-4.958;-0.458;-12.595;-5.027;480;455;524;494;;
77;-4.958;-0.458;-12.595;-5.027;480;455;521;492;;
81;-4.890;-0.466;-12.595;-5.027;480;450;524;494;;
84;-4.812;0.301;-12.602;-4.946;478;439;522;491;;
87;-5.027;-0.450;-12.533;-5.032;483;457;524;494;;
91;-4.912;-0.173;-12.533;-5.032;483;452;524;494;;
94;-4.820;0.400;-12.533;-5.032;476;432;524;494;;
97;-4.919;-0.076;-12.533;-5.032;483;450;524;491;;
101;-5.034;-0.353;-12.525;-5.113;480;455;522;494;;
104;-5.103;-0.345;-12.540;-4.950;487;454;522;494;;
108;-4.988;-0.068;-12.533;-5.032;483;450;522;494;;
111;-5.095;-0.443;-12.470;-5.036;492;455;524;494;;
114;-4.957;0.416;-12.470;-5.036;480;430;519;491;;
118;-5.171;-0.338;-12.408;-5.041;490;457;522;491;;
121;-4.896;0.507;-12.463;-5.118;478;436;519;487;;
124;-4.988;-0.068;-12.408;-5.041;483;454;522;491;;
128;-5.103;-0.345;-12.338;-5.127;480;452;522;496;;
131;-4.919;-0.076;-12.408;-5.041;483;443;522;494;;
134;-5.179;-0.240;-12.470;-5.036;492;454;522;494;;
138;-5.057;-0.060;-12.408;-5.041;483;450;519;489;;
141;-4.995;0.030;-12.470;-5.036;478;446;522;494;;
144;-5.171;-0.338;-12.416;-4.959;490;454;515;491;;
148;-4.942;0.219;-12.416;-4.959;485;450;522;496;;
151;-5.171;-0.338;-12.478;-4.955;487;457;524;491;;
154;-5.110;-0.248;-12.408;-5.041;490;450;515;491;;
158;-5.110;-0.248;-12.416;-4.959;485;452;519;493;Fixation=ani_nat_set2_C_07: trial n°0; 
161;-5.179;-0.240;-12.416;-4.959;487;448;519;496;;
164;-4.957;0.416;-12.346;-5.045;483;444;519;494;;
168;-5.003;0.128;-12.408;-5.041;483;434;519;494;;
171;-5.133;0.046;-12.354;-4.964;483;439;519;493;;
174;-5.026;0.424;-12.486;-4.873;487;437;524;493;;
178;-5.247;-0.232;-12.416;-4.959;492;459;519;491;;
181;-5.323;-0.126;-12.478;-4.955;492;445;524;493;;
184;-5.537;-0.004;-12.618;-4.782;493;452;524;493;;
188;-6.102;0.262;-13.093;-4.336;475;441;514;477;;
191;-6.578;1.117;-13.514;-3.804;464;434;502;464;;
195;-7.195;2.013;-14.139;-3.076;476;430;510;480;;
198;-7.895;3.049;-14.767;-2.333;482;418;523;489;;
201;-8.521;3.995;-15.368;-1.233;477;432;512;464;;
205;-8.775;4.571;-15.733;-0.665;475;432;498;471;;
208;-8.966;6.007;-16.020;0.339;473;407;496;473;;
211;-8.953;6.659;-16.175;1.249;475;416;496;453;;
215;-8.982;6.994;-16.242;1.886;475;419;496;464;;
218;-9.071;8.011;-16.343;2.262;473;416;496;461;;
221;-9.030;8.338;-16.488;2.466;475;384;503;461;;
225;-9.161;8.254;-16.560;2.568;470;418;503;457;;
228;-9.161;8.254;-16.603;2.394;470;414;508;461;;
231;-9.221;8.155;-16.603;2.394;466;414;508;461;;
235;-9.302;8.285;-16.655;2.312;468;418;508;464;;
238;-9.302;8.285;-16.521;2.200;464;416;506;464;;
241;-9.292;8.171;-16.583;2.210;464;416;506;464;;
245;-9.433;8.202;-16.521;2.200;464;412;503;464;;
248;-9.423;8.088;-17.300;2.602;464;405;486;436;;
251;-9.443;8.316;-17.102;2.477;464;416;480;416;;
255;-9.402;7.860;-16.603;2.394;464;432;508;464;;
258;-9.402;7.860;-16.655;2.312;464;432;508;464;;
261;-9.443;8.316;-16.603;2.394;464;416;508;461;;
265;-9.443;8.316;-16.603;2.394;464;416;506;461;;
268;-9.433;8.202;-16.655;2.312;464;418;508;461;;
271;-9.513;8.332;-16.603;2.394;464;414;508;461;;
275;-9.473;7.875;-16.655;2.312;464;432;508;464;;
278;-9.523;8.447;-17.554;2.102;464;414;470;384;;
281;-9.503;8.217;-16.655;2.312;464;414;508;464;;
285;-9.513;8.332;-16.603;2.394;464;416;508;461;;
288;-9.513;8.332;-16.603;2.394;464;416;508;464;;
292;-9.543;7.891;-16.665;2.404;464;432;506;464;;
295;-9.543;7.891;-16.665;2.404;464;432;508;464;;
298;-9.513;8.332;-16.603;2.394;464;416;506;461;;
302;-9.513;8.332;-16.593;2.302;464;420;508;464;;
305;-9.544;8.676;-16.603;2.394;464;402;510;464;;
308;-9.625;8.807;-16.665;2.404;464;400;508;464;;
312;-9.544;8.676;-16.603;2.394;464;404;508;464;;
315;-9.543;7.891;-16.603;2.394;464;432;506;464;;
318;-9.584;8.348;-16.540;2.384;464;416;508;461;;
322;-9.513;8.332;-16.603;2.394;464;416;508;464;;
325;-9.523;8.447;-16.603;2.394;464;416;508;461;;
328;-9.483;8.776;-16.665;2.404;464;409;506;464;;
332;-9.584;8.348;-16.603;2.394;464;414;506;461;;
335;-9.513;8.332;-16.665;2.404;464;416;508;464;;
338;-9.513;8.332;-16.603;2.394;464;414;506;461;;
342;-9.473;8.660;-16.665;2.404;464;398;508;461;;
345;-9.513;8.332;-16.593;2.302;464;418;503;464;;
348;-9.453;8.431;-16.540;2.384;464;416;506;461;;
352;-9.513;8.332;-16.593;2.302;464;412;503;461;;
355;-9.513;8.332;-16.593;2.302;464;418;503;461;;
358;-9.503;8.217;-16.540;2.384;464;412;499;461;;
362;-9.513;8.332;-16.540;2.384;464;414;496;461;;
365;-9.513;8.332;-16.530;2.292;464;416;499;461;;
369;-9.503;8.217;-16.603;2.394;464;416;499;461;;
372;-9.503;8.217;-16.593;2.302;464;410;503;461;;
375;-9.433;8.202;-16.530;2.292;464;407;496;461;;
379;-9.503;8.217;-16.530;2.292;464;410;496;455;;
382;-9.574;8.233;-16.530;2.292;464;405;496;461;;
385;-9.523;8.447;-16.583;2.210;464;389;493;459;;
389;-9.423;8.088;-16.540;2.384;464;403;496;459;;
392;-9.101;8.353;-16.238;2.426;462;384;496;452;;
395;-8.487;8.446;-15.573;2.506;450;387;485;448;;
399;-7.533;8.586;-14.599;2.551;464;404;491;438;;
402;-6.619;9.192;-13.761;2.717;448;386;483;432;;
405;-5.761;8.810;-12.670;2.777;450;388;491;432;;
409;-5.030;9.129;-12.125;2.814;464;395;490;432;;
412;-4.542;9.048;-11.756;2.780;458;400;476;432;;
415;-4.412;9.139;-11.582;2.856;451;397;467;432;;
419;-4.333;9.015;-11.705;2.866;444;388;471;432;;
422;-4.342;9.128;-11.817;2.786;444;388;476;432;;
425;-4.560;9.275;-11.817;2.786;451;397;474;432;;
429;-4.481;9.150;-11.879;2.791;448;397;474;432;;
432;-4.542;9.048;-11.889;2.882;446;391;468;432;;
435;-4.472;9.037;-11.848;3.060;442;384;459;427;;
439;-4.481;9.150;-11.848;3.060;442;382;459;427;;
442;-4.412;9.139;-11.910;3.065;439;384;459;423;;
445;-4.412;9.139;-11.848;3.060;435;387;459;423;;
449;-4.472;9.037;-11.828;2.877;435;380;459;409;;
452;-4.403;9.026;-11.838;2.968;429;377;457;409;;
455;-4.394;8.913;-11.961;2.979;432;374;454;400;;
459;-4.463;8.924;-12.023;2.985;427;374;450;395;;
462;-4.463;8.924;-12.033;3.076;422;374;448;395;;
466;-4.463;8.924;-12.095;3.082;427;377;443;393;;
469;-4.612;9.060;-12.033;3.076;422;370;443;393;;
472;-4.603;8.947;-12.649;3.136;422;372;418;378;;
476;-4.672;8.958;-12.043;3.168;418;370;443;386;;
479;-4.578;9.502;-11.920;3.157;416;356;443;384;;
482;-4.672;8.958;-11.992;3.254;413;365;434;384;;
486;-4.612;9.060;-11.982;3.162;411;357;441;384;;
489;-4.603;8.947;-11.992;3.254;409;349;432;384;;
492;-4.681;9.071;-11.992;3.254;409;357;428;384;;
496;-4.690;9.184;-11.982;3.162;406;345;425;382;;
499;-4.672;8.958;-11.982;3.162;406;340;426;380;;
502;-4.621;9.173;-11.848;3.060;406;342;423;378;;
506;-4.760;9.196;-11.859;3.151;400;340;426;380;;
