# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\AMa49\AMa49_Encodage-categorisation_set2_14_03_22_2024.03.20_15.15.55.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\AMa49\Export_2024-04-11_19-53-54_categorisation.csv
# ExportDate: 11/04/2024 19:53:54
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: AMa49 AMa49
# DateOfBirth: 01/01/1949
# ExamDate: 20/03/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;10.048;12.685;3.534;4.605;441;413;407;265;;
5;10.101;12.484;3.230;5.908;438;416;400;233;;
8;10.196;12.788;3.521;5.406;441;409;407;272;;
11;10.135;12.888;3.591;5.507;441;416;407;262;Fixation=ani_nat_set2_C_12: trial n°0; 
15;10.065;12.887;3.476;5.708;438;409;407;286;;
18;10.012;13.088;3.502;6.113;438;429;400;263;;
21;10.073;12.988;3.540;5.708;446;432;405;274;;
25;10.012;13.088;3.451;6.315;438;429;400;270;;
28;10.090;13.191;3.420;6.825;441;439;400;274;;
32;10.020;13.189;3.581;6.316;438;432;407;272;;
35;10.020;13.189;3.383;7.234;436;434;403;262;;
38;9.959;13.290;3.456;7.338;434;448;403;272;;
42;9.906;13.492;3.676;5.811;432;439;407;297;;
45;9.967;13.391;2.976;6.008;439;448;375;290;;
48;9.967;13.391;3.747;5.912;438;443;405;295;;
52;10.037;13.393;3.390;7.337;438;443;403;304;;
55;9.897;13.390;3.507;7.133;432;437;400;284;;
58;9.897;13.390;3.653;6.419;435;443;403;308;;
62;9.897;13.390;3.761;6.115;432;441;405;304;;
65;9.827;13.389;3.427;7.853;435;441;400;274;;
68;9.959;13.290;0.770;8.808;435;441;295;251;;
72;9.819;13.287;1.171;9.851;437;441;297;233;;
75;9.810;13.186;3.746;6.828;437;441;407;310;;
78;9.889;13.288;2.795;7.335;448;443;375;299;;
82;9.819;13.287;3.718;7.340;435;441;403;306;;
85;9.827;13.389;3.668;7.546;437;441;407;307;;
88;9.802;13.084;3.726;7.443;435;436;403;304;;
92;9.810;13.186;3.668;7.546;442;444;405;311;;
95;9.889;13.288;3.781;8.167;439;444;400;253;;
98;9.793;12.983;3.869;6.727;441;442;405;316;;
102;9.662;13.082;3.645;7.237;442;442;409;326;;
105;9.810;13.186;3.811;6.829;437;446;407;309;;
108;9.793;12.983;3.552;7.751;437;442;407;326;;
112;9.802;13.084;3.749;7.753;435;444;403;316;;
115;9.802;13.084;3.749;7.753;432;434;400;293;;
119;9.724;12.982;3.797;8.375;444;439;400;281;;
122;9.785;12.882;3.559;7.854;437;439;405;316;;
125;9.793;12.983;3.106;7.028;437;436;375;310;;
129;9.785;12.882;3.691;7.856;437;435;409;308;;
132;9.785;12.882;3.641;8.062;442;439;405;304;;
135;9.855;12.883;3.552;7.751;441;436;407;326;;
139;9.793;12.983;3.668;7.546;435;435;403;304;;
142;9.855;12.883;3.765;7.960;437;432;400;300;;
145;9.872;13.085;3.718;7.340;434;444;407;326;;
149;9.872;13.085;3.819;6.931;435;436;423;329;;
152;9.880;13.187;3.819;6.931;435;444;409;326;;
155;9.950;13.188;3.765;7.960;434;444;409;320;;
159;9.872;13.085;3.889;7.858;434;432;400;298;;
162;10.029;13.291;3.799;7.547;441;441;400;320;;
165;9.950;13.188;3.892;7.034;445;446;409;317;;
169;9.942;13.087;3.865;7.548;445;446;405;304;;
172;9.933;12.985;3.664;8.374;432;430;400;304;;
175;9.942;13.087;3.865;7.548;439;434;409;310;;
179;9.872;13.085;3.633;7.958;437;432;407;320;;
182;9.959;13.290;3.707;8.063;445;441;407;320;;
185;10.012;13.088;3.641;8.062;438;432;409;317;;
189;9.950;13.188;3.641;8.062;434;434;407;308;;
192;10.012;13.088;3.884;6.932;446;442;405;326;;
195;10.003;12.986;3.761;7.033;438;432;412;326;;
199;9.942;13.087;3.641;8.062;439;439;407;322;;
202;9.942;13.087;3.849;7.342;443;444;403;310;;
206;10.082;13.089;3.575;8.062;438;439;407;310;;
209;9.942;13.087;3.559;7.854;443;439;407;315;;
212;10.020;13.189;3.834;7.136;441;442;409;315;;
216;9.942;13.087;3.813;8.584;436;432;400;279;;
219;10.003;12.986;3.715;8.167;438;432;405;304;;
222;10.065;12.887;3.814;9.421;441;437;400;260;;
226;10.073;12.988;3.731;8.375;443;432;400;310;;
229;10.082;13.089;3.773;8.064;441;437;403;304;;
232;10.082;13.089;3.826;7.034;444;439;409;320;;
236;10.065;12.887;3.681;8.582;441;429;403;304;;
239;10.003;12.986;3.707;8.063;438;437;403;310;;
242;10.003;12.986;3.559;7.854;438;434;407;320;;
246;9.995;12.885;3.707;8.063;439;429;403;317;;
249;10.020;13.189;3.559;7.854;438;442;407;326;;
252;9.925;12.884;3.696;7.032;434;429;410;322;;
256;9.925;12.884;3.832;9.632;432;427;400;244;;
259;9.933;12.985;0.655;9.334;436;439;306;247;;
262;9.942;13.087;3.872;8.480;445;446;400;286;;
266;9.987;12.784;3.754;6.930;436;435;409;326;;
269;9.855;12.883;3.899;7.137;437;434;421;322;;
272;9.802;13.084;2.708;8.058;444;448;378;304;;
276;9.436;12.876;3.434;7.030;451;434;423;320;;
279;8.815;12.971;2.928;7.335;461;437;428;326;;
282;8.039;12.866;2.140;7.543;445;436;411;313;;
286;6.908;12.666;1.140;7.866;462;438;428;320;;
289;6.486;13.489;-0.097;8.000;459;435;386;295;;
293;5.998;13.497;-0.667;7.607;444;429;412;326;;
296;5.348;13.202;0.042;7.996;444;434;349;272;;
299;4.932;13.212;-2.149;7.468;455;429;416;329;;
303;4.561;12.915;-2.508;7.078;455;436;413;329;;
306;4.414;12.817;-2.506;7.282;455;434;409;326;;
309;4.438;13.124;-2.577;7.286;448;432;404;329;;
313;4.553;12.813;-2.505;7.384;453;436;406;329;;
316;4.622;12.811;-2.297;6.863;451;436;413;333;;
319;4.614;12.709;-2.363;7.377;455;434;416;333;;
323;4.367;12.206;-2.221;7.369;453;445;413;322;;
326;4.630;12.913;-2.220;7.471;448;426;411;329;;
329;4.561;12.915;-2.227;6.859;446;425;416;329;;
333;4.545;12.711;-1.584;7.440;448;430;387;285;;
336;4.414;12.817;-2.363;7.377;445;425;416;329;;
339;4.553;12.813;-2.293;7.270;446;425;416;329;;
343;4.553;12.813;-2.149;7.468;443;421;413;329;;
346;4.561;12.915;-1.942;7.048;446;418;416;338;;
349;4.491;12.917;-2.149;7.468;441;406;409;329;;
353;4.553;12.813;-2.149;7.468;436;416;413;329;;
356;4.483;12.815;-2.220;7.471;436;414;407;329;;
359;4.475;12.713;-2.220;7.471;441;414;411;326;;
363;4.475;12.713;-2.078;7.464;434;406;409;329;;
366;4.406;12.715;-1.934;7.662;436;409;396;315;;
369;4.483;12.815;-2.006;7.563;430;406;405;329;;
373;4.321;12.513;-2.149;7.468;434;414;400;329;;
376;4.483;12.815;-2.079;7.362;420;404;398;329;;
379;4.715;13.116;-2.077;7.566;425;409;396;322;;
383;4.545;12.711;-1.932;7.765;423;406;405;329;;
386;4.545;12.711;-2.006;7.563;427;411;409;329;;
390;4.568;13.017;-2.077;7.566;425;404;402;329;;
393;4.715;13.116;-2.078;7.464;418;404;393;329;;
396;4.630;12.913;-1.937;7.457;416;404;391;326;;
400;4.561;12.915;-1.866;7.453;423;404;395;326;;
403;4.561;12.915;-1.935;7.559;416;402;410;329;;
406;4.638;13.015;-1.869;7.249;416;397;389;329;;
410;4.630;12.913;-1.864;7.556;411;395;387;322;;
413;4.630;12.913;-2.210;8.294;416;406;368;274;;
416;4.769;12.909;-1.938;7.354;411;397;400;333;;
420;4.793;13.216;-1.864;7.556;406;393;380;326;;
423;4.668;12.503;-1.867;7.351;411;402;389;329;;
426;4.521;12.405;-1.795;7.450;411;400;382;315;;
430;4.444;12.305;-1.867;7.351;411;397;384;326;;
433;4.545;12.711;-1.866;7.453;406;397;384;320;;
436;4.537;12.609;-1.867;7.351;404;400;384;326;;
440;4.475;12.713;-1.652;7.545;402;395;375;304;;
443;4.460;12.509;-1.584;7.440;402;397;375;315;;
446;4.614;12.709;-1.656;7.341;400;391;375;317;;
450;4.475;12.713;-1.443;7.433;400;382;368;290;;
453;4.398;12.613;-1.585;7.337;400;398;373;311;;
456;4.305;12.309;-1.726;7.344;400;397;380;313;;
460;4.398;12.613;-1.656;7.341;400;391;378;306;;
463;4.390;12.511;-1.797;7.347;400;396;378;313;;
466;4.390;12.511;-1.726;7.344;400;393;375;311;;
470;4.321;12.513;-1.654;7.443;400;384;371;309;;
473;4.321;12.513;-1.725;7.446;400;386;373;309;;
477;4.321;12.513;-1.656;7.341;400;391;371;311;;
480;4.375;12.307;-1.585;7.337;400;387;371;297;;
483;4.321;12.513;-1.657;7.238;400;388;373;310;;
487;4.313;12.411;-0.959;7.105;400;379;336;324;;
490;4.305;12.309;-1.585;7.337;400;387;368;297;;
493;4.144;12.009;-1.656;7.341;400;379;368;300;;
497;4.305;12.309;-1.729;7.140;400;379;371;301;;
500;4.298;12.208;-1.656;7.341;400;381;368;302;;
503;4.298;12.208;-1.723;7.549;400;379;368;304;;
507;4.452;12.407;-1.797;7.347;400;370;368;316;;
510;4.313;12.411;-1.585;7.337;400;375;368;299;;
513;4.452;12.407;-1.647;7.854;400;373;368;281;;
517;4.375;12.307;-1.584;7.440;400;373;365;290;;
520;4.398;12.613;-1.659;7.136;397;371;368;304;;
523;4.298;12.208;-1.656;7.341;400;379;368;295;;
527;4.367;12.206;-1.718;7.857;400;379;356;276;;
530;4.236;12.312;-2.068;8.184;397;373;363;281;;
533;4.228;12.210;-1.788;7.860;400;377;368;288;;
537;4.375;12.307;-1.282;8.354;397;371;352;279;;
540;4.290;12.107;-1.656;7.341;400;375;368;294;;
543;4.221;12.109;-1.576;7.850;397;373;365;294;;
547;4.282;12.005;-1.585;7.337;397;364;368;304;;
550;4.221;12.109;-1.798;7.245;397;373;368;307;;
553;4.367;12.206;-1.797;7.347;393;361;368;318;;
557;4.282;12.005;-1.725;7.446;397;368;358;288;;
560;4.367;12.206;-1.587;7.235;393;361;368;294;;
564;4.567;12.099;-1.350;8.461;388;361;338;244;;
567;4.567;12.099;-1.788;7.860;388;364;361;281;;
570;4.398;11.698;-1.647;7.854;391;361;361;281;;
574;4.637;12.097;-1.576;7.850;384;358;363;285;;
577;4.629;11.995;-1.441;7.536;384;363;365;290;;
580;4.629;11.995;-1.589;7.133;384;361;368;301;;
584;4.706;12.095;-1.443;7.433;384;358;361;285;;
587;4.760;11.891;-1.289;8.044;384;361;338;263;;
590;4.706;12.095;-1.659;7.136;380;349;363;290;;
594;4.606;11.693;-1.517;7.232;382;361;359;281;;
597;4.598;11.592;-1.375;7.328;382;361;363;294;;
600;4.752;11.790;-1.587;7.235;373;358;361;290;;
604;4.752;11.790;-0.861;8.233;377;361;323;237;;
607;4.737;11.588;-1.428;8.153;377;363;345;275;;
610;4.821;11.788;-1.725;7.446;373;358;356;281;;
614;4.752;11.790;-1.012;7.826;375;358;327;270;;
617;4.744;11.689;-0.934;8.133;375;358;320;245;;
620;4.744;11.689;-1.721;7.651;371;352;348;285;;
624;4.814;11.687;-1.654;7.443;368;361;354;283;;
627;4.891;11.787;-1.360;8.047;368;359;322;245;;
630;4.821;11.788;-1.652;7.545;370;359;349;285;;
634;4.829;11.889;-2.000;7.974;366;358;346;281;;
637;4.899;11.887;-1.645;7.957;368;352;356;285;;
640;4.899;11.887;-1.929;7.970;368;358;343;281;;
644;4.760;11.891;-1.645;7.957;366;345;352;281;;
647;4.906;11.988;-0.934;8.133;368;358;313;236;;
651;4.899;11.887;-1.645;7.957;366;358;345;279;;
654;4.845;12.091;-1.714;8.063;356;343;348;281;;
657;4.744;11.689;-1.637;8.370;366;350;343;281;;
661;4.845;12.091;-1.716;7.960;364;349;336;281;;
664;4.984;12.088;-1.710;8.270;363;352;331;281;;
667;4.837;11.990;-1.282;8.354;361;343;323;274;;
671;4.906;11.988;-1.576;7.850;363;352;345;285;;
674;4.760;11.891;-0.711;8.539;354;343;306;240;;
677;4.914;12.090;-1.643;8.060;361;345;336;277;;
681;4.783;12.194;-1.287;8.147;349;343;317;272;;
684;4.829;11.889;-1.929;7.970;358;343;348;281;;
687;4.906;11.988;-1.574;7.953;361;345;320;272;;
691;4.891;11.787;-1.501;8.053;363;350;323;272;;
694;4.821;11.788;-1.004;8.136;361;350;309;245;;
697;4.829;11.889;-1.645;7.957;349;343;331;281;;
701;4.829;11.889;-1.503;7.950;356;343;317;261;;
704;4.814;11.687;-1.859;7.864;358;350;324;274;;
707;4.952;11.684;-1.645;7.957;361;347;329;277;;
711;4.883;11.686;-1.435;7.844;354;341;311;258;;
714;4.937;11.483;-1.576;7.850;354;340;325;270;;
717;4.860;11.384;-1.509;7.642;358;336;320;268;;
721;4.922;11.282;-1.649;7.751;361;354;327;274;;
724;4.714;11.287;-1.578;7.748;356;338;323;268;;
727;4.914;11.182;-1.080;7.932;358;334;297;240;;
731;4.760;10.985;-1.725;7.446;361;350;317;265;;
734;4.753;10.885;-1.723;7.549;354;342;313;265;;
738;4.814;10.784;-1.368;7.635;358;345;304;256;;
741;5.045;11.079;-1.589;7.133;358;331;322;265;;
744;4.852;11.284;-1.795;7.450;347;329;322;265;;
748;4.737;10.686;-1.584;7.440;349;343;313;265;;
751;4.730;10.587;-1.517;7.232;354;343;318;265;;
754;4.668;10.688;-1.662;6.932;352;341;320;274;;
758;4.668;10.688;-1.589;7.133;354;343;320;268;;
761;4.591;10.590;-1.437;7.741;345;339;304;262;;
764;4.646;10.390;0.558;7.055;354;345;263;224;;
768;4.584;10.490;-1.662;6.932;349;338;313;278;;
771;4.653;10.489;-2.011;7.154;349;341;314;265;;
774;4.722;10.487;-1.157;7.626;352;345;295;233;;
778;4.438;10.394;-1.798;7.245;342;339;307;265;;
781;4.515;10.492;-1.517;7.232;345;331;302;265;;
784;4.500;10.294;-1.876;6.739;345;336;314;269;;
788;4.430;10.295;-1.876;6.739;342;332;314;272;;
791;4.562;10.193;-2.083;7.055;345;332;311;265;;
794;4.500;10.294;-1.945;6.844;342;334;316;269;;
798;4.562;10.193;-1.517;7.232;345;334;302;261;;
801;4.430;10.295;-2.083;7.055;336;329;314;265;;
804;4.492;10.195;-2.019;6.543;342;329;318;278;;
808;4.485;10.096;-2.083;7.055;342;329;316;269;;
811;4.416;10.097;-1.804;6.837;342;329;314;269;;
814;4.401;9.900;-2.159;6.551;340;333;318;274;;
818;4.346;10.099;-2.083;7.055;336;329;314;272;;
821;4.470;9.898;-2.009;7.358;338;333;314;258;;
825;4.270;10.002;-1.949;6.540;336;329;316;274;;
828;4.270;10.002;-2.232;6.251;336;329;323;278;;
831;4.270;10.002;-2.089;6.547;336;329;311;267;;
835;4.201;10.004;-1.951;6.337;336;331;314;263;;
838;4.208;10.102;-2.015;6.848;336;329;309;259;;
841;4.201;10.004;-2.161;6.348;336;331;318;278;;
845;4.277;10.101;-2.159;6.551;336;331;323;276;;
848;4.208;10.102;-2.094;6.042;336;331;325;281;;
851;4.277;10.101;-2.164;6.045;336;329;327;281;;
855;4.201;10.004;-2.090;6.446;336;336;314;265;;
858;4.361;10.297;-2.227;6.859;336;326;311;265;;
861;4.270;10.002;-2.160;6.449;336;329;316;269;;
865;4.146;10.203;-2.011;7.154;336;331;307;263;;
868;4.215;10.201;-2.018;6.645;336;329;316;272;;
871;4.285;10.200;-2.158;6.652;336;329;316;272;;
875;4.285;10.200;-2.367;6.968;336;331;316;265;;
878;4.285;10.200;-2.300;6.558;336;326;323;274;;
881;4.223;10.300;-2.089;6.547;336;326;320;281;;
885;4.361;10.297;-2.082;7.157;336;326;311;265;;
888;4.361;10.297;-2.018;6.645;336;329;311;265;;
891;4.230;10.400;-1.449;7.126;336;333;295;229;;
895;4.376;10.495;-2.295;7.066;336;320;323;265;;
898;4.369;10.396;-1.945;6.844;334;317;314;265;;
901;4.285;10.200;-2.084;6.953;336;331;314;267;;
905;4.245;10.598;-2.011;7.154;336;338;307;265;;
908;4.307;10.497;-1.876;6.739;336;325;314;267;;
911;4.453;10.593;-2.010;7.256;336;318;314;262;;
915;4.384;10.595;-2.226;6.961;336;327;320;274;;
918;4.453;10.593;-2.086;6.852;334;318;320;269;;
922;4.391;10.694;-2.082;7.157;338;324;314;265;;
925;4.391;10.694;-1.649;7.751;336;320;309;258;;
928;4.453;10.593;-2.011;7.154;334;316;309;265;;
932;4.545;10.890;-1.650;7.648;332;313;300;238;;
935;4.399;10.794;-1.723;7.549;334;323;302;256;;
938;4.545;10.890;-2.081;7.259;336;320;311;265;;
942;4.552;10.990;-2.010;7.256;334;323;311;262;;
945;4.545;10.890;-2.011;7.154;334;323;316;265;;
948;4.622;10.988;-1.795;7.450;336;317;304;242;;
952;4.545;10.890;-1.797;7.347;332;306;307;262;;
955;4.491;11.092;-2.081;7.259;334;311;316;265;;
958;4.483;10.992;-1.935;7.559;334;325;309;256;;
962;4.475;10.892;-1.445;7.331;338;325;290;224;;
965;4.483;10.992;-1.721;7.651;334;327;299;251;;
