# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\CMj02\CMj02_Encodage-categorisation_set2_14_03_22_2024.01.16_11.25.41.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\CMj02\Export_2024-01-24_16-36-02_categorisation.csv
# ExportDate: 24/01/2024 16:36:02
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: CMj02 CMj02
# DateOfBirth: 01/01/2002
# ExamDate: 16/01/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;2.210;18.703;-4.795;21.314;458;381;493;416;;
3;2.210;18.703;-4.728;21.315;458;381;491;416;;
6;2.215;18.589;-4.723;21.229;462;384;489;416;;
10;2.205;18.817;-4.712;21.055;455;374;491;416;;
13;2.141;18.589;-4.706;20.968;462;381;491;425;;
16;2.141;18.589;-4.778;21.054;460;381;493;418;;
20;2.141;18.589;-4.712;21.055;455;381;491;416;;
23;2.219;18.475;-4.717;21.142;455;384;489;414;;
26;2.141;18.589;-4.645;21.056;458;381;489;416;;
30;2.215;18.589;-4.767;20.880;455;381;489;423;;
33;2.215;18.589;-4.645;21.056;455;384;489;416;;
36;2.141;18.589;-4.640;20.969;455;381;485;405;;
40;2.146;18.475;-4.640;20.969;462;384;493;420;;
43;2.141;18.589;-4.645;21.056;458;381;489;423;;
46;2.215;18.589;-4.578;21.057;455;381;496;422;;
50;2.215;18.589;-4.512;21.059;458;381;485;416;;
53;2.219;18.475;-4.578;21.057;455;384;493;416;;
56;2.288;18.589;-4.517;21.146;455;381;489;416;;
60;2.141;18.589;-4.512;21.059;455;381;493;423;;
63;2.284;18.703;-4.512;21.059;455;381;494;420;;
67;2.210;18.703;-4.512;21.059;455;379;494;420;;
70;2.288;18.589;-4.578;21.057;458;384;493;414;;
73;2.210;18.703;-4.517;21.146;458;381;494;416;;
77;2.215;18.589;-4.523;21.232;455;381;487;411;;
80;2.279;18.817;-4.517;21.146;455;379;494;416;;
83;2.215;18.589;-4.517;21.146;458;384;487;411;;
87;2.288;18.589;-4.517;21.146;458;381;489;418;;
90;2.210;18.703;-4.512;21.059;458;381;496;418;;
93;2.215;18.589;-4.517;21.146;460;381;491;416;;
97;2.293;18.475;-4.450;21.147;455;384;492;418;;
100;2.210;18.703;-4.445;21.060;460;379;496;425;;
103;2.141;18.589;-4.445;21.060;458;379;494;420;;
107;2.215;18.589;-4.506;20.972;460;384;493;420;;
110;2.150;18.361;-4.450;21.147;462;384;489;416;;
113;2.219;18.475;-4.434;20.886;460;384;494;418;;
117;2.068;18.589;-4.434;20.886;458;381;487;423;;
120;2.224;18.361;-4.506;20.972;460;384;487;409;;
123;2.150;18.361;-4.573;20.970;458;384;491;423;;
127;2.072;18.475;-4.568;20.883;462;384;487;414;;
130;2.077;18.361;-4.568;20.883;460;384;489;412;;
133;2.077;18.361;-4.624;20.708;458;384;489;412;;
137;2.077;18.361;-4.701;20.881;462;384;491;425;;
140;1.999;18.475;-4.629;20.795;462;386;485;416;;
143;2.003;18.361;-4.690;20.707;464;384;489;407;;
147;2.077;18.361;-4.767;20.880;462;384;489;425;;
150;2.003;18.361;-4.767;20.880;464;386;489;425;;
154;1.999;18.475;-4.695;20.794;462;384;489;423;;
157;1.925;18.475;-4.773;20.967;464;384;489;427;;
160;1.925;18.475;-4.767;20.880;462;381;489;423;;
164;1.925;18.475;-4.778;21.054;464;384;489;416;;
167;2.003;18.361;-4.778;21.054;462;384;489;425;;
170;1.925;18.475;-4.706;20.968;462;381;491;425;;
174;1.921;18.589;-4.706;20.968;464;381;489;418;;
177;1.999;18.475;-4.651;21.143;462;384;491;412;;
180;1.994;18.589;-4.651;21.143;464;381;489;416;;
184;1.999;18.475;-4.651;21.143;462;384;491;416;;
187;1.999;18.475;-4.578;21.057;462;384;489;416;;
190;2.072;18.475;-4.578;21.057;462;384;489;412;;
194;2.072;18.475;-4.578;21.057;460;381;493;416;;
197;1.999;18.475;-4.640;20.969;464;386;493;418;;
200;1.999;18.475;-4.645;21.056;464;384;496;420;;
204;2.068;18.589;-4.578;21.057;462;384;491;418;;
207;2.072;18.475;-4.645;21.056;462;384;496;425;;
210;1.930;18.361;-4.706;20.968;464;384;493;425;;
214;2.003;18.361;-4.512;21.059;462;381;487;416;;
217;2.003;18.361;-4.634;20.882;462;384;496;425;;
220;2.003;18.361;-4.573;20.970;462;384;491;416;;
224;1.999;18.475;-4.629;20.795;464;384;491;421;;
227;2.003;18.361;-4.568;20.883;462;384;491;423;;
230;1.999;18.475;-4.496;20.798;462;381;485;419;;
234;1.930;18.361;-4.624;20.708;462;381;493;425;;
237;1.934;18.247;-4.634;20.882;464;386;487;421;;
241;1.930;18.361;-4.568;20.883;464;384;489;423;;
244;1.930;18.361;-4.568;20.883;464;384;491;421;;
247;2.003;18.361;-4.634;20.882;462;386;493;420;;
251;2.008;18.247;-4.629;20.795;462;384;493;427;;
254;1.934;18.247;-4.573;20.970;462;384;489;414;;
257;2.008;18.247;-4.568;20.883;464;386;489;423;;
261;1.934;18.247;-4.501;20.885;464;386;489;416;;
264;2.003;18.361;-4.640;20.969;464;388;496;425;;
267;2.003;18.361;-4.645;21.056;462;384;493;416;;
271;2.003;18.361;-4.512;21.059;462;384;493;418;;
274;2.008;18.247;-4.568;20.883;462;384;496;423;;
277;2.003;18.361;-4.573;20.970;462;384;494;416;;
