# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EMj02\EMj02_Encodage-categorisation_set2_14_03_22_2024.04.29_17.01.49.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EMj02\Export_2024-04-30_13-55-19_categorisation.csv
# ExportDate: 30/04/2024 13:55:19
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: EMj02 EMj02
# DateOfBirth: 01/01/2002
# ExamDate: 29/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;3.347;2.480;-3.071;2.056;589;537;592;528;;
5;3.414;2.394;-3.009;2.058;585;534;581;521;;
8;3.287;2.391;-3.136;2.140;587;534;588;522;Fixation=ani_art_set2_I_11: trial n°0; 
12;3.287;2.391;-3.128;1.968;587;537;590;515;;
15;3.287;2.391;-3.251;1.964;587;537;594;521;;
18;3.228;2.302;-3.246;1.878;589;546;592;528;;
22;3.228;2.302;-3.317;2.048;587;537;590;524;;
25;3.224;2.390;-3.251;1.964;585;537;599;521;;
28;3.161;2.388;-3.308;1.876;585;537;587;519;;
32;3.157;2.477;-3.317;2.048;587;537;587;526;;
35;3.157;2.477;-3.378;2.046;587;537;592;539;;
38;3.094;2.475;-3.312;1.962;585;537;583;519;;
42;3.157;2.477;-3.378;2.046;585;537;589;521;;
45;3.097;2.387;-3.444;2.130;587;539;592;528;;
48;3.161;2.388;-3.502;2.042;592;541;594;532;;
52;3.097;2.387;-3.378;2.046;585;546;592;524;;
55;3.157;2.477;-3.317;2.048;587;537;587;522;;
58;3.094;2.475;-3.374;1.960;585;537;595;531;;
62;3.161;2.388;-3.444;2.130;587;537;596;530;;
65;3.161;2.388;-3.378;2.046;587;537;602;537;;
68;3.220;2.478;-3.374;1.960;587;537;592;525;;
72;3.153;2.565;-3.321;2.134;587;537;595;526;;
75;3.157;2.477;-3.383;2.132;585;537;599;532;;
78;3.157;2.477;-3.383;2.132;587;537;592;526;;
82;3.094;2.475;-3.378;2.046;587;537;592;533;;
85;3.034;2.386;-3.444;2.130;585;537;599;528;;
88;3.041;2.210;-3.440;2.044;587;544;599;526;;
92;3.026;2.563;-3.502;2.042;580;537;601;534;;
95;3.030;2.474;-3.502;2.042;585;537;590;526;;
99;3.097;2.387;-3.563;2.041;585;537;592;537;;
102;3.030;2.474;-3.506;2.128;582;537;592;530;;
105;3.030;2.474;-3.563;2.041;582;539;599;530;;
109;2.967;2.473;-3.629;2.125;580;537;581;530;;
112;3.026;2.563;-3.686;2.037;582;537;586;526;;
115;2.971;2.385;-3.753;2.121;587;537;598;537;;
119;3.026;2.563;-3.629;2.125;582;534;597;530;;
122;2.840;2.471;-3.695;2.209;576;534;603;537;;
125;2.900;2.561;-3.757;2.207;576;537;592;528;;
129;2.903;2.472;-3.757;2.207;582;534;592;528;;
132;2.900;2.561;-3.691;2.123;581;537;598;534;;
135;2.836;2.560;-3.757;2.207;573;530;594;532;;
139;2.840;2.471;-3.819;2.206;578;534;592;530;;
142;2.840;2.471;-3.819;2.206;573;534;592;530;;
