# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Loanne\2-Jeunes\1-Catégorisation\Analyse sujet par sujet\FFj99_\FFj99\FFj99_Encodage-categorisation_set2_14_03_22_2023.03.30_09.52.35.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Loanne\2-Jeunes\1-Catégorisation\Analyse sujet par sujet\FFj99_\FFj99\Export_2023-05-09_17-05-54_categorisation.csv
# ExportDate: 09/05/2023 17:05:54
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: FFj99 FFj99
# DateOfBirth: 01/01/1999
# ExamDate: 30/03/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 0.99
# CorrelationLY: 0.93
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;22.713;2.300;-1.467;17.031;729;131;599;153;;
5;-31.004;-2.397;-1.355;13.150;366;198;630;201;;
8;5.489;1.219;-2.024;9.759;0;0;864;194;;
11;5.489;1.219;1.598;5.472;0;0;919;213;;
15;5.489;1.219;0.941;2.427;0;0;685;222;;
18;5.489;1.219;-1.051;-0.423;0;0;830;279;;
21;29.080;-1.077;8.469;-3.436;674;220;816;261;;
25;5.489;1.219;-3.665;20.969;0;0;0;0;;
28;36.681;-140.772;9.756;-5.135;782;112;329;194;;
32;5.489;1.219;7.445;-6.284;0;0;256;231;;
35;5.489;1.219;-3.665;20.969;0;0;0;0;;
38;32.285;-0.663;-33.071;3.242;738;272;341;197;;
42;35.548;-103.436;6.662;-9.238;1034;208;243;195;;
45;36.163;-119.522;-34.118;-8.531;958;146;0;0;;
48;35.498;-99.163;-3.665;20.969;1038;180;0;0;;
52;36.301;-124.732;4.194;-11.536;997;146;203;173;;
55;36.455;-132.369;-32.040;-0.515;876;137;0;0;;
58;36.140;-117.946;-3.665;20.969;967;157;0;0;;
62;36.766;-145.171;3.231;-13.003;755;102;231;201;;
65;-4.902;-23.878;-3.665;20.969;346;215;0;0;;
68;5.489;1.219;2.858;-13.857;0;0;94;128;;
72;35.891;-113.384;1.331;-13.682;917;180;217;178;;
75;36.192;-122.680;1.303;-14.050;940;160;213;163;;
78;38.715;4.109;6.487;-14.554;640;304;398;208;;
82;36.946;-156.177;82.043;-37.641;743;100;21;48;;
85;35.760;-111.027;4.188;-14.851;935;214;386;171;;
88;42.539;9.176;5.271;-15.303;448;259;384;185;;
92;37.374;-235.453;0.304;-15.106;284;112;256;205;;
95;36.955;-160.105;-13.227;-12.813;743;114;1006;306;;
98;-3.403;-25.807;-1.775;-15.104;453;197;174;158;;
102;37.360;-208.190;-3.000;-15.231;533;96;608;199;;
105;-0.135;-26.964;0.518;-16.357;288;167;96;130;;
108;44.251;11.454;-3.665;20.969;304;227;0;0;;
