# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\FMa40\FMa40_Encodage-catégorisation_set2_14_03_22_2022.04.04_09.19.59.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\FMa40\Export_2023-07-17_08-06-02_categorisation.csv
# ExportDate: 17/07/2023 08:06:02
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: FMa40 FMa40
# DateOfBirth: 11/11/1940
# ExamDate: 04/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 0.99
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
3;2.517;7.094;-4.190;7.800;336;331;233;236;;
6;2.596;6.949;-4.188;7.898;327;327;230;236;;
9;2.519;7.165;-4.190;7.800;331;320;228;234;;
12;2.597;7.019;-4.352;7.718;331;329;226;234;;
16;2.600;7.230;-4.027;7.882;334;326;231;238;;
19;2.598;7.089;-4.269;7.906;313;306;228;238;;
23;2.519;7.165;-4.190;7.800;332;313;228;236;;
26;2.759;7.080;-4.188;7.898;316;306;226;236;;
29;2.680;7.155;-4.351;7.816;315;317;226;234;;
33;2.681;7.225;-4.109;7.792;311;308;228;236;;
36;2.758;7.010;-4.190;7.800;311;306;226;238;;
39;2.680;7.155;-4.027;7.882;325;313;228;238;;
43;2.762;7.221;-4.270;7.808;325;313;226;236;;
46;2.681;7.225;-4.190;7.800;311;304;218;236;;
49;2.602;7.370;-4.188;7.898;334;310;226;238;;
53;2.681;7.225;-4.190;7.800;331;317;228;238;;
56;2.761;7.150;-4.190;7.800;322;308;230;236;;
59;2.679;7.085;-4.188;7.898;322;313;226;236;;
63;2.681;7.225;-4.190;7.800;315;302;226;236;;
66;2.843;7.216;-4.190;7.800;315;308;224;236;;
69;2.762;7.221;-4.109;7.792;320;308;222;236;;
73;2.601;7.300;-4.109;7.792;325;313;224;234;;
76;2.519;7.165;-4.191;7.702;339;317;230;234;;
79;2.680;7.155;-4.190;7.800;325;317;228;234;;
83;2.600;7.230;-4.188;7.898;327;313;228;236;;
86;2.521;7.375;-4.191;7.702;331;320;224;234;;
89;2.682;7.296;-4.272;7.710;323;313;224;234;;
93;2.682;7.296;-4.272;7.710;329;329;224;231;;
96;2.840;7.075;-4.191;7.702;320;317;222;231;;
99;2.681;7.225;-4.273;7.612;329;326;222;231;;
103;2.764;7.361;-4.435;7.628;334;336;217;231;;
106;2.600;7.230;-4.272;7.710;327;317;226;231;;
110;2.683;7.366;-4.275;7.514;317;322;220;229;;
113;2.602;7.370;-4.194;7.506;336;332;224;227;;
116;2.843;7.216;-4.273;7.612;318;329;224;229;;
120;2.520;7.235;-4.357;7.424;324;320;228;222;;
123;2.359;7.315;-4.599;7.448;320;329;221;221;;
126;2.115;7.259;-4.675;7.751;323;329;217;231;;
130;1.791;7.489;-4.835;7.867;336;333;214;231;;
133;1.628;7.430;-4.916;7.875;336;331;212;231;;
136;1.873;7.554;-4.913;8.072;327;315;212;233;;
140;1.710;7.634;-4.909;8.467;336;332;212;231;;
143;2.036;7.614;-4.988;8.673;327;342;210;226;;
146;2.036;7.614;-4.988;8.673;330;323;212;233;;
150;2.118;7.819;-4.988;8.673;323;322;210;226;;
153;1.955;7.689;-4.991;8.377;332;342;210;222;;
156;1.792;7.699;-4.909;8.467;334;332;212;222;;
160;1.955;7.829;-4.828;8.458;327;334;212;226;;
163;2.199;7.605;-4.909;8.467;323;317;210;224;;
166;1.792;7.839;-4.909;8.467;336;332;212;226;;
170;1.873;7.904;-4.827;8.557;330;326;212;220;;
173;1.791;7.979;-4.747;8.449;336;331;212;224;;
176;1.791;8.119;-4.826;8.655;336;323;212;224;;
180;1.709;7.984;-4.909;8.467;336;339;210;220;;
183;1.791;8.049;-4.990;8.476;336;332;210;218;;
186;1.791;8.119;-4.912;8.171;336;327;212;229;;
190;1.873;8.114;-4.908;8.566;336;325;212;215;;
193;1.709;8.123;-4.909;8.467;336;323;212;220;;
197;1.954;8.249;-4.989;8.574;327;323;210;220;;
200;1.953;8.319;-4.908;8.566;330;330;212;218;;
203;1.708;8.193;-5.071;8.485;336;327;210;218;;
207;1.790;8.258;-4.989;8.574;332;325;208;215;;
210;1.623;8.477;-5.070;8.583;336;324;208;222;;
213;1.790;8.188;-4.989;8.574;334;320;212;220;;
217;1.707;8.333;-4.990;8.476;338;334;210;222;Fixation=obj_art_set2_C_06: trial n°0; 
220;1.788;8.398;-4.908;8.566;327;320;210;218;;
223;1.708;8.263;-4.908;8.566;330;323;212;224;;
227;1.706;8.403;-4.908;8.566;327;325;212;222;;
230;1.787;8.468;-4.988;8.673;327;323;210;220;;
233;1.789;8.328;-4.989;8.574;327;325;212;222;;
237;1.623;8.477;-4.989;8.574;336;336;210;220;;
240;1.622;8.547;-4.990;8.476;336;336;210;226;;
243;1.623;8.477;-4.907;8.664;336;327;210;220;;
247;1.705;8.473;-5.070;8.583;332;330;210;226;;
250;1.706;8.403;-4.989;8.574;334;325;210;226;;
253;1.706;8.403;-4.990;8.476;336;332;210;226;;
257;1.870;8.463;-4.989;8.574;330;336;210;228;;
260;1.622;8.547;-4.909;8.467;336;338;212;231;;
263;1.869;8.533;-4.909;8.467;327;334;210;224;;
267;1.707;8.333;-4.910;8.368;336;320;210;237;;
270;1.789;8.328;-4.992;8.278;336;336;212;235;;
273;1.704;8.542;-4.990;8.476;336;336;210;235;;
277;1.872;8.253;-5.069;8.682;330;327;210;230;;
280;1.708;8.263;-4.990;8.476;336;340;210;235;;
283;1.704;8.542;-4.989;8.574;336;336;210;230;;
287;1.787;8.468;-5.071;8.485;336;338;208;220;;
290;1.621;8.617;-4.990;8.476;336;338;208;230;;
294;1.708;8.263;-4.989;8.574;332;325;212;226;;
297;1.703;8.612;-4.909;8.467;336;336;210;235;;
300;1.870;8.393;-4.909;8.467;330;342;210;230;;
304;1.539;8.622;-4.990;8.476;336;338;210;228;;
307;1.788;8.398;-4.826;8.655;332;338;214;233;;
310;1.622;8.547;-4.989;8.574;336;340;210;230;;
314;1.543;8.343;-4.989;8.574;338;349;210;235;;
317;1.705;8.473;-4.827;8.557;334;342;212;230;;
320;1.622;8.547;-4.907;8.664;336;348;214;228;;
324;1.623;8.477;-4.827;8.557;336;345;214;230;;
327;1.704;8.542;-4.988;8.673;336;340;212;233;;
330;1.623;8.477;-4.908;8.566;336;340;212;235;;
334;1.706;8.403;-5.068;8.781;334;348;208;226;;
337;1.540;8.552;-4.987;8.772;336;355;210;222;;
340;1.622;8.547;-4.989;8.574;336;340;212;233;;
344;1.620;8.687;-4.909;8.467;336;338;212;237;;
347;1.783;8.747;-5.068;8.781;325;336;210;230;;
350;1.619;8.756;-4.908;8.566;336;336;210;233;;
354;1.455;8.696;-4.907;8.664;336;355;214;230;;
357;1.536;8.761;-4.989;8.574;336;336;210;233;;
360;1.701;8.752;-4.988;8.673;336;339;210;233;;
364;1.622;8.547;-4.988;8.673;336;345;210;228;;
367;1.535;8.831;-4.988;8.673;336;343;210;226;;
370;1.533;8.901;-4.989;8.574;336;350;210;230;;
374;1.533;8.901;-4.907;8.664;336;343;212;228;;
377;1.616;8.896;-4.906;8.763;336;339;212;226;;
381;1.535;8.831;-4.905;8.862;338;350;210;221;;
384;1.700;8.821;-5.067;8.880;327;345;210;221;;
387;1.532;8.970;-4.906;8.763;336;352;214;222;;
391;1.364;9.049;-4.907;8.664;336;354;212;226;;
394;1.616;8.896;-4.988;8.673;334;346;212;224;;
