# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\FPa47\FPa47_Encodage-categorisation_set2_14_03_22_2023.04.17_16.21.25.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\FPa47\Export_2023-07-17_08-56-37_categorisation.csv
# ExportDate: 17/07/2023 08:56:37
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: FPa47 FPa47
# DateOfBirth: 01/01/1947
# ExamDate: 17/04/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 0.00
# CorrelationLY: 0.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;3.291;0.000;-5.395;-2.309;0;0;324;317;;
3;3.291;0.000;-5.535;-2.225;0;0;324;327;;
6;3.291;0.000;-5.400;-1.996;0;0;326;345;;
10;3.291;0.000;-5.606;-2.144;0;0;322;336;Fixation=obj_nat_set2_I_10: trial n°0; 
13;3.291;0.000;-5.537;-2.147;0;0;324;352;;
16;3.291;0.000;-5.467;-2.150;0;0;322;333;;
20;3.291;0.000;-5.608;-1.987;0;0;324;332;;
23;3.291;0.000;-5.467;-2.150;0;0;322;336;;
26;3.291;0.000;-5.470;-1.915;0;0;324;349;;
30;3.291;0.000;-5.533;-2.381;0;0;320;324;;
33;3.291;0.000;-5.467;-2.150;0;0;327;349;;
36;3.291;0.000;-5.471;-1.837;0;0;324;347;;
40;3.291;0.000;-5.467;-2.150;0;0;324;338;;
43;3.291;0.000;-5.468;-2.072;0;0;324;342;;
46;3.291;0.000;-5.399;-2.074;0;0;326;342;;
50;3.291;0.000;-5.608;-1.987;0;0;327;342;;
53;3.291;0.000;-5.333;-1.843;0;0;332;370;;
56;3.291;0.000;-5.675;-2.141;0;0;320;331;;
