# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\GSj04\GSj04_Encodage-categorisation_set2_14_03_22_2024.06.05_17.20.27.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\GSj04\Export_2024-06-06_14-45-48_categorisation.csv
# ExportDate: 06/06/2024 14:45:48
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: GSj04 GSj04
# DateOfBirth: 01/01/2004
# ExamDate: 05/06/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;3.574;-8.134;-2.965;-8.771;507;464;560;528;;
5;3.651;-8.135;-2.965;-8.771;512;464;560;526;;
8;3.651;-8.135;-3.033;-8.699;507;464;560;524;;
12;3.651;-8.135;-2.961;-8.702;507;464;560;522;;
15;3.650;-8.050;-3.038;-8.768;507;464;560;522;;
18;3.651;-8.135;-3.038;-8.768;507;464;560;546;;
22;3.651;-8.135;-2.965;-8.771;509;464;560;524;;
25;3.573;-8.049;-2.970;-8.839;507;464;560;555;;
28;3.651;-8.135;-2.979;-8.975;507;464;560;555;;
32;3.650;-8.050;-3.038;-8.768;507;464;560;555;;
35;3.651;-8.135;-3.042;-8.836;507;464;560;557;;
38;3.574;-8.134;-3.047;-8.904;505;464;560;555;;
42;3.496;-8.049;-3.047;-8.904;502;464;560;560;;
45;3.574;-8.134;-3.042;-8.836;505;464;560;555;;
48;3.650;-8.050;-3.115;-8.834;509;464;560;557;;
52;3.573;-8.049;-3.047;-8.904;507;464;560;560;;
55;3.573;-8.049;-3.038;-8.768;507;464;557;553;;
58;3.496;-8.049;-3.110;-8.766;505;464;560;555;;
62;3.496;-8.049;-3.115;-8.834;507;464;560;555;;
65;3.650;-8.050;-3.187;-8.832;512;464;560;560;;
68;3.574;-8.134;-3.206;-9.101;505;464;560;555;;
72;4.954;-7.378;-3.346;-9.029;487;453;560;557;;
75;3.572;-7.964;-3.187;-8.832;507;464;557;555;;
78;3.573;-8.049;-3.119;-8.902;507;464;560;560;;
82;3.572;-7.964;-3.360;-9.228;507;464;560;560;;
85;3.496;-8.049;-3.115;-8.834;502;464;560;555;;
88;3.572;-7.964;-3.115;-8.834;507;464;560;555;;
92;3.496;-8.049;-3.187;-8.832;502;464;557;551;;
95;3.725;-7.881;-3.187;-8.832;505;464;557;553;;
99;3.497;-8.134;-3.182;-8.763;505;464;557;553;;
102;3.496;-8.049;-3.192;-8.899;507;464;560;553;;
105;3.496;-8.049;-3.360;-9.228;502;464;560;560;;
109;3.496;-8.049;-3.115;-8.834;505;464;560;555;;
112;3.496;-8.049;-3.119;-8.902;507;464;557;555;;
115;3.573;-8.049;-3.192;-8.899;507;464;557;551;;
119;3.573;-8.049;-3.119;-8.902;507;464;560;560;;
122;3.574;-8.134;-3.201;-9.034;507;464;560;560;;
125;3.496;-8.049;-3.119;-8.902;507;464;560;560;;
129;3.650;-8.050;-3.124;-8.970;507;464;560;555;;
132;3.573;-8.049;-3.115;-8.834;507;464;560;551;;
135;3.573;-8.049;-3.052;-8.972;507;464;560;560;;
139;3.651;-8.135;-3.042;-8.836;507;464;560;555;;
142;3.650;-8.050;-3.052;-8.972;512;466;560;560;;
145;3.651;-8.135;-3.133;-9.104;512;464;560;557;;
149;3.650;-8.050;-3.124;-8.970;507;464;560;560;;
152;3.651;-8.135;-3.115;-8.834;512;464;560;555;Fixation=ani_nat_set2_C_09: trial n°0; 
155;3.573;-8.049;-3.038;-8.768;507;464;560;553;;
159;3.573;-8.049;-2.975;-8.907;507;464;560;557;;
162;3.573;-8.049;-3.038;-8.768;507;464;560;548;;
165;3.573;-8.049;-3.042;-8.836;509;464;560;555;;
169;3.648;-7.880;-3.042;-8.836;512;464;560;555;;
172;3.650;-8.050;-3.024;-8.561;507;464;560;537;;
175;3.728;-8.051;-2.970;-8.839;507;464;560;555;;
179;3.726;-7.966;-3.119;-8.902;512;464;560;560;;
182;3.649;-7.965;-3.047;-8.904;507;464;560;560;;
186;3.650;-8.050;-3.042;-8.836;507;464;560;553;;
189;3.726;-7.966;-2.970;-8.839;512;466;560;557;;
192;3.649;-7.965;-3.042;-8.836;514;464;560;557;;
196;3.649;-7.965;-3.047;-8.904;512;466;560;560;;
199;3.573;-8.049;-3.033;-8.699;507;464;560;548;;
202;3.650;-8.050;-3.047;-8.904;507;464;560;560;;
206;3.956;-7.798;-2.970;-8.839;512;464;560;555;;
209;3.650;-8.050;-2.979;-8.975;512;464;560;560;;
212;3.728;-8.051;-2.975;-8.907;512;464;560;557;;
216;3.651;-8.135;-2.975;-8.907;512;464;560;560;;
219;3.650;-8.050;-2.970;-8.839;512;464;560;555;;
222;5.029;-7.207;-2.975;-8.907;486;453;560;557;;
226;3.650;-8.050;-4.134;-9.900;512;468;574;560;;
229;3.650;-8.050;-2.902;-8.909;512;464;560;550;;
232;3.650;-8.050;-3.038;-8.768;509;464;560;530;;
236;3.806;-8.137;-3.192;-8.899;514;466;560;530;;
239;3.805;-8.052;-3.033;-8.699;514;464;560;528;;
242;3.806;-8.137;-3.255;-8.761;512;464;560;525;;
246;3.882;-8.052;-3.496;-8.047;514;464;560;514;;
249;3.960;-8.053;-3.303;-8.411;518;464;560;542;;
252;3.960;-8.053;-3.347;-7.979;516;464;560;517;;
256;3.880;-7.882;-3.126;-7.913;514;467;560;546;;
259;3.881;-7.967;-2.895;-7.699;516;464;560;515;;
262;3.957;-7.883;-3.256;-7.688;518;464;560;528;;
266;3.957;-7.883;-3.015;-7.318;518;464;560;515;;
269;3.956;-7.798;-2.943;-7.320;518;467;560;515;;
273;3.956;-7.798;-3.539;-7.604;523;469;560;539;;
276;4.032;-7.713;-3.097;-7.468;523;469;560;517;;
279;4.187;-7.715;-3.482;-7.828;518;469;560;519;;
283;4.033;-7.799;-2.803;-7.401;523;469;560;515;;
286;4.033;-7.799;-2.928;-7.090;523;474;560;533;;
289;3.877;-7.627;-3.413;-6.763;523;478;563;573;;
293;4.030;-7.543;-2.957;-7.547;521;478;560;517;;
296;3.877;-7.627;-2.957;-7.547;516;476;560;519;;
299;3.877;-7.627;-3.234;-6.206;518;471;560;576;;
303;3.877;-7.627;-2.981;-7.918;523;476;560;516;;
306;3.878;-7.712;-3.126;-7.913;514;471;560;524;;
309;3.956;-7.798;-2.914;-7.993;518;467;560;576;;
313;4.030;-7.543;-3.280;-8.054;512;474;574;580;;
316;3.877;-7.627;-3.072;-8.205;523;478;560;555;;
319;3.878;-7.712;-3.193;-7.838;521;471;560;569;;
323;3.879;-7.797;-3.308;-8.481;514;469;560;535;;
326;3.955;-7.713;-3.005;-8.279;523;471;560;518;;
329;3.877;-7.627;-3.429;-8.121;516;474;574;565;;
333;3.878;-7.712;-2.856;-8.212;516;469;560;518;;
336;3.878;-7.712;-3.068;-8.133;521;476;560;518;;
339;3.799;-7.541;-2.976;-7.845;518;480;560;502;;
343;3.874;-7.370;-3.135;-8.059;523;480;560;519;;
346;3.946;-6.771;-3.111;-7.692;512;480;560;512;;
349;3.945;-6.600;-3.092;-7.392;514;487;560;516;;
353;3.714;-6.512;-3.217;-7.081;514;494;560;512;;
356;3.867;-6.255;-3.274;-6.846;518;494;560;512;;
359;3.713;-6.426;-3.274;-6.846;518;484;560;512;;
363;3.713;-6.339;-3.202;-6.848;518;487;560;512;;
366;3.867;-6.341;-3.408;-6.684;518;489;560;512;;
370;3.790;-6.254;-3.485;-6.760;514;489;560;512;;
373;3.791;-6.598;-3.289;-7.079;514;487;560;514;;
376;3.867;-6.427;-3.428;-6.997;518;476;560;512;;
380;3.791;-6.684;-3.231;-7.312;521;492;560;514;;
383;3.713;-6.426;-3.413;-6.763;514;487;560;512;;
386;3.637;-6.511;-3.562;-6.836;514;469;560;512;;
390;3.714;-6.512;-3.413;-6.763;514;471;560;512;;
393;3.790;-6.340;-3.423;-6.919;518;473;560;514;;
396;3.790;-6.340;-3.428;-6.997;518;477;560;512;;
400;3.637;-6.425;-3.701;-6.753;509;469;557;512;;
403;3.790;-6.254;-3.696;-6.674;509;464;553;512;;
406;3.483;-6.595;-3.567;-6.915;509;471;557;514;;
410;3.713;-6.253;-3.706;-6.832;507;469;557;512;;
413;3.636;-6.253;-3.773;-6.751;502;461;553;512;;
416;3.483;-6.337;-3.582;-7.147;502;464;555;514;;
420;3.713;-6.167;-3.778;-6.829;502;464;550;512;;
423;3.483;-6.337;-3.768;-6.672;502;459;544;510;;
426;3.483;-6.337;-3.783;-6.907;502;459;544;508;;
430;3.482;-6.165;-3.788;-6.985;496;448;544;501;;
433;3.636;-6.253;-3.860;-6.983;502;461;544;501;;
436;3.559;-6.079;-3.788;-6.985;496;448;544;496;;
440;3.559;-6.252;-3.865;-7.060;496;457;544;503;;
443;3.559;-6.252;-3.721;-7.065;496;454;544;503;;
446;3.406;-6.250;-3.557;-6.758;496;448;539;496;;
450;3.559;-6.166;-3.788;-6.985;496;448;537;499;;
453;3.559;-6.252;-3.798;-7.139;496;444;533;496;;
457;3.636;-6.253;-3.870;-7.137;492;439;530;496;;
460;3.790;-6.254;-5.329;-6.291;492;437;498;448;;
463;3.636;-6.339;-3.634;-6.834;492;439;521;496;;
467;3.714;-6.512;-3.880;-7.290;492;432;526;498;;
470;3.637;-6.511;-3.803;-7.216;492;435;521;496;;
473;3.637;-6.425;-3.880;-7.290;492;432;519;496;;
