# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\JSa46\JSa46_Encodage-categorisation_set2_14_03_22_2023.03.27_15.30.50.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\JSa46\Export_2023-07-17_09-44-39_categorisation.csv
# ExportDate: 17/07/2023 09:44:39
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: JSa46 JSa46
# DateOfBirth: 01/01/1946
# ExamDate: 27/03/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;-55.047;12.972;-0.482;3.692;438;377;320;160;;
3;6.779;2.105;-0.059;4.867;300;144;325;181;;
6;6.423;3.453;-0.585;5.954;302;173;334;208;;
9;6.697;4.320;-0.155;7.154;324;197;339;227;;
13;6.549;5.384;0.072;8.605;336;208;341;258;;
16;6.468;6.838;-0.116;9.263;350;240;341;272;;
20;6.464;7.421;-0.012;9.786;341;256;336;290;;
23;6.604;8.197;0.167;10.305;343;272;339;313;;
26;6.676;8.488;0.404;10.496;341;293;336;326;;
30;6.821;8.875;0.379;10.067;339;304;339;315;;
33;6.822;8.486;0.441;9.846;333;302;336;315;;
36;6.896;8.193;0.509;9.732;336;307;336;324;;
40;6.969;7.803;0.577;9.618;336;302;336;320;;
43;7.041;7.900;0.496;9.520;336;308;336;320;;
46;6.969;7.803;0.571;9.512;336;307;336;313;;
50;6.969;7.609;0.546;9.088;336;299;336;325;;
53;7.114;7.511;0.472;9.095;336;290;336;325;;
56;7.114;7.123;0.546;9.088;336;307;336;329;;
60;7.114;7.219;0.607;8.869;338;311;336;317;;
63;7.114;7.026;0.533;8.876;336;304;336;320;;
66;7.114;7.026;0.527;8.770;336;313;336;313;;
70;7.114;7.026;0.527;8.770;336;311;336;316;;
73;7.257;6.831;0.453;8.778;334;313;336;322;;
76;7.114;6.735;0.459;8.883;336;302;336;320;;
80;7.114;6.735;0.527;8.770;336;314;336;318;;
83;7.042;6.735;0.453;8.778;336;308;336;320;;
86;7.114;6.638;0.453;8.778;336;306;336;320;;
90;6.971;6.542;0.521;8.665;336;301;336;320;;
93;7.114;6.347;0.447;8.672;336;304;336;318;;
97;7.114;6.541;0.515;8.559;336;308;336;315;;
100;7.114;6.347;0.588;8.552;336;304;336;318;;
103;7.114;6.347;0.521;8.665;336;304;336;320;;
106;7.043;6.251;0.441;8.567;336;304;336;317;;
110;7.114;6.541;0.521;8.665;336;307;336;325;;
113;7.043;6.251;0.435;8.461;336;304;336;317;;
117;7.043;6.348;0.435;8.461;336;304;336;323;;
120;7.114;6.347;0.502;8.348;336;307;336;316;;
123;7.114;6.251;0.502;8.348;336;304;336;318;;
127;7.114;6.347;0.508;8.454;336;311;336;315;;
130;7.186;6.153;0.429;8.356;336;304;336;323;;
133;7.114;6.154;0.502;8.348;336;304;336;318;;
137;7.185;6.250;0.508;8.454;336;307;336;315;;
140;7.043;6.154;0.576;8.341;336;307;336;313;;
143;7.114;6.154;0.502;8.348;336;304;336;320;;
147;7.186;6.057;0.429;8.356;336;304;336;320;;
150;7.114;6.251;0.502;8.348;336;304;336;318;;
153;7.115;5.960;0.570;8.236;336;304;336;318;;
157;7.043;6.154;0.570;8.236;336;304;336;315;;
160;7.257;5.960;0.502;8.348;336;304;336;323;;
164;7.114;6.057;0.570;8.236;336;304;336;318;;
167;7.114;6.057;0.502;8.348;336;304;336;315;;
170;7.186;6.057;0.576;8.341;336;304;336;323;;
173;7.257;6.250;0.496;8.243;340;307;336;316;;
177;7.186;6.057;0.502;8.348;336;304;336;313;;
180;7.186;6.057;0.502;8.348;338;304;336;318;;
184;7.186;6.153;0.496;8.243;338;304;336;318;;
187;7.043;6.058;0.496;8.243;336;304;336;316;;
190;7.186;5.960;0.570;8.236;336;304;336;318;;
194;7.186;6.057;0.502;8.348;336;304;336;313;;
197;7.114;6.057;0.496;8.243;336;304;336;316;;
200;7.186;5.960;0.570;8.236;336;304;336;320;;
204;7.186;6.057;0.576;8.341;336;304;336;313;;
207;7.114;6.154;0.576;8.341;336;304;336;320;;
210;7.257;5.960;0.496;8.243;336;307;336;316;;
214;7.115;5.960;0.502;8.348;336;304;336;323;;
217;7.186;6.057;0.429;8.356;336;304;336;320;;
220;7.114;6.057;0.496;8.243;336;304;336;318;;
224;7.114;6.057;0.502;8.348;336;304;336;318;;
227;7.043;6.058;0.496;8.243;336;304;336;318;;
230;7.114;6.057;0.429;8.356;336;304;336;313;;
234;7.186;6.057;0.502;8.348;336;304;336;320;;
237;7.114;6.057;0.490;8.138;336;304;336;316;;
240;7.115;5.960;0.435;8.461;336;307;336;320;;
244;7.114;6.154;0.429;8.356;336;304;336;318;;
247;7.114;6.057;0.429;8.356;336;304;336;320;;
250;7.043;6.154;0.502;8.348;336;307;336;318;Fixation=obj_art_set2_C_05: trial n°0; 
254;7.043;6.058;0.502;8.348;336;304;336;316;;
257;7.043;6.058;0.502;8.348;336;304;336;318;;
260;7.186;6.057;0.496;8.243;336;304;336;318;;
264;7.114;6.057;0.496;8.243;336;304;336;316;;
267;7.115;5.960;0.355;8.363;336;304;336;323;;
270;7.043;6.154;0.429;8.356;336;304;336;320;;
274;7.115;5.960;0.502;8.348;336;304;336;320;;
277;7.114;6.057;0.423;8.251;336;304;336;316;;
280;7.043;6.058;0.429;8.356;336;304;336;320;;
284;7.115;5.960;0.435;8.461;336;304;336;323;;
287;7.043;6.058;0.423;8.251;336;307;336;318;;
291;7.186;5.960;0.502;8.348;336;304;336;323;;
294;7.186;6.057;0.502;8.348;336;304;336;323;;
297;6.972;5.961;0.502;8.348;336;304;336;320;;
301;7.043;6.058;0.502;8.348;336;304;336;320;;
304;7.114;6.154;0.502;8.348;336;304;336;323;;
307;7.043;6.058;0.429;8.356;336;304;336;315;;
311;7.114;6.057;0.502;8.348;336;304;336;323;;
314;6.972;5.961;0.429;8.356;336;304;336;323;;
317;7.043;5.961;0.429;8.356;336;304;336;320;;
321;7.043;6.058;0.429;8.356;336;304;336;320;;
324;7.043;6.058;0.423;8.251;336;304;336;313;;
327;7.043;6.058;0.502;8.348;336;304;336;320;;
331;7.043;6.058;0.423;8.251;336;304;336;318;;
334;7.115;5.960;0.429;8.356;336;304;336;323;;
337;7.043;6.058;0.416;8.146;336;304;336;316;;
341;7.043;5.961;0.349;8.258;336;304;336;316;;
344;7.043;6.154;0.423;8.251;336;307;336;316;;
347;6.972;6.155;0.349;8.258;336;304;336;320;;
351;7.043;5.961;0.429;8.356;336;304;336;320;;
354;7.044;5.864;0.355;8.363;336;304;336;320;;
357;7.044;5.864;0.429;8.356;336;304;336;320;;
361;7.115;5.960;0.349;8.258;336;304;336;318;;
364;7.043;5.961;0.423;8.251;336;304;336;320;;
367;6.972;6.155;0.349;8.258;336;304;336;314;;
371;6.972;6.058;0.423;8.251;336;304;336;320;;
374;7.044;5.864;0.355;8.363;336;304;336;316;;
378;7.115;5.960;0.423;8.251;336;304;336;318;;
381;7.043;6.058;0.416;8.146;336;304;339;316;;
384;7.043;5.961;0.349;8.258;336;304;336;318;;
388;6.972;6.058;0.349;8.258;336;304;336;323;;
391;7.043;5.961;0.275;8.266;336;307;336;318;;
394;6.972;6.058;0.349;8.258;336;304;336;316;;
398;7.043;5.961;0.355;8.363;336;304;336;313;;
401;7.043;5.961;0.429;8.356;336;307;336;318;;
404;7.043;5.961;0.349;8.258;336;304;339;320;;
408;6.972;5.961;0.423;8.251;336;304;336;318;;
411;6.972;5.961;0.349;8.258;336;304;336;318;;
414;7.043;5.961;0.349;8.258;336;304;336;323;;
418;7.043;6.058;0.281;8.371;336;304;339;318;;
421;6.972;6.058;0.349;8.258;336;304;336;318;;
424;7.114;6.057;0.275;8.266;336;304;336;320;;
428;7.115;5.960;0.349;8.258;336;307;336;323;;
431;7.043;5.961;0.355;8.363;336;304;339;323;;
434;7.043;5.961;0.423;8.251;336;307;336;320;;
438;7.115;5.960;0.416;8.146;336;304;339;318;;
441;7.114;6.057;0.343;8.153;336;304;339;316;;
444;7.043;5.961;0.355;8.363;336;304;336;323;;
448;7.115;5.864;0.423;8.251;336;304;339;320;;
451;7.043;6.058;0.423;8.251;336;304;336;318;;
454;7.114;6.057;0.496;8.243;336;304;336;323;;
458;7.186;5.960;0.349;8.258;336;304;336;323;;
461;7.043;6.058;0.423;8.251;336;304;336;318;;
465;7.114;6.057;0.423;8.251;336;304;336;316;;
468;7.043;5.961;0.496;8.243;336;304;336;314;;
471;7.114;6.057;0.349;8.258;336;304;336;320;;
475;7.043;5.961;0.349;8.258;336;304;339;320;;
478;7.043;5.961;0.349;8.258;336;307;336;318;;
481;7.115;5.960;0.423;8.251;336;304;336;320;;
485;7.043;6.058;0.343;8.153;336;304;336;316;;
488;7.114;6.057;0.275;8.266;336;304;339;318;;
491;7.043;5.961;0.355;8.363;336;304;336;320;;
495;7.115;5.960;0.343;8.153;336;304;336;323;;
498;7.115;5.960;0.355;8.363;336;307;336;323;;
501;6.972;6.058;0.349;8.258;336;307;336;316;;
