# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LBj03\LBj03_Encodage-categorisation_set2_14_03_22_2023.07.10_10.21.14.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LBj03\Export_2023-07-17_09-31-32_categorisation.csv
# ExportDate: 17/07/2023 09:31:32
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: LBj03 LBj03
# DateOfBirth: 01/01/2003
# ExamDate: 10/07/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;2.082;17.174;-3.818;17.094;478;410;455;388;;
5;2.082;17.174;-3.882;17.093;490;418;453;393;;
8;2.034;17.458;-3.753;16.998;487;409;457;388;;
11;2.101;17.462;-3.754;17.095;476;409;451;388;;
15;2.094;17.366;-3.815;16.803;492;428;457;374;;
18;2.021;17.266;-3.753;16.998;478;411;445;377;;
22;2.094;17.366;-3.751;16.901;483;413;451;371;;
25;1.935;16.974;-3.817;16.997;490;411;448;375;;
28;1.948;17.166;-3.945;16.995;492;429;453;368;;
32;2.015;17.170;-3.817;16.997;480;398;451;375;;
35;2.008;17.074;-3.880;16.899;487;409;452;386;;
38;1.954;17.262;-3.943;16.801;485;416;441;372;;
42;2.082;17.174;-3.943;16.801;483;412;450;379;;
45;1.929;16.878;-3.878;16.705;485;411;450;377;;
48;1.954;17.262;-3.944;16.898;487;423;443;375;;
52;1.881;17.162;-3.817;16.997;487;416;448;368;;
55;1.948;17.166;-3.815;16.803;483;420;452;375;;
58;1.881;17.162;-3.751;16.901;490;405;445;373;;
62;1.948;17.166;-3.815;16.803;490;423;451;381;;
65;1.941;17.070;-3.817;16.997;483;409;446;375;;
68;2.021;17.266;-3.816;16.900;483;418;444;373;;
72;2.015;17.170;-3.751;16.901;487;423;448;368;;
75;1.929;16.878;-3.687;16.902;485;423;452;377;;
78;1.881;17.162;-3.751;16.901;490;418;448;373;;
82;1.874;17.066;-3.816;16.900;492;419;451;370;;
85;1.807;17.063;-3.753;16.998;490;413;443;368;;
88;1.935;16.974;-3.687;16.902;490;419;450;379;;
92;1.935;16.974;-3.687;16.902;485;425;450;373;;
95;1.935;16.974;-3.751;16.901;496;432;450;386;;
98;1.868;16.971;-3.751;16.901;487;425;448;370;;
102;1.807;17.063;-3.753;16.998;492;407;445;377;;
105;1.740;17.059;-3.753;16.998;492;418;450;377;;
109;1.874;17.066;-3.623;16.904;492;418;450;381;;
112;1.874;17.066;-3.686;16.806;494;427;454;380;;
115;1.807;17.063;-3.751;16.901;490;406;450;373;;
119;1.826;17.350;-3.622;16.807;492;425;460;384;;
122;1.747;17.155;-3.621;16.710;494;429;450;379;;
125;1.874;17.066;-3.750;16.804;492;423;445;377;;
129;1.814;17.159;-3.687;16.902;492;425;455;379;;
132;1.801;16.967;-3.623;16.904;492;432;452;373;;
135;1.820;17.254;-3.623;16.904;494;421;454;371;;
139;1.807;17.063;-3.625;17.097;494;427;454;388;;
142;1.606;17.051;-3.558;16.905;492;416;454;375;;
145;1.814;17.159;-3.494;16.906;492;425;457;379;;
149;1.795;16.871;-3.557;16.808;490;418;454;394;;
152;1.807;17.063;-3.625;17.097;494;421;450;382;;
155;1.807;17.063;-3.494;16.906;494;429;454;382;;
159;1.814;17.159;-3.622;16.807;494;425;450;374;;
162;1.807;17.063;-3.621;16.710;494;425;454;387;;
165;1.740;17.059;-3.558;16.905;494;432;459;393;;
169;1.734;16.963;-3.558;16.905;494;429;452;375;;
172;1.801;16.967;-3.622;16.807;494;430;454;382;;
175;1.801;16.967;-3.493;16.809;496;432;459;386;;
179;1.807;17.063;-3.493;16.809;492;427;464;386;;
182;1.740;17.059;-3.622;16.807;496;432;464;380;;
185;1.740;17.059;-3.558;16.905;494;427;452;375;;
189;1.747;17.155;-3.557;16.808;492;416;457;387;;
192;1.740;17.059;-3.493;16.809;496;432;461;393;;
196;1.747;17.155;-3.429;16.811;496;427;461;398;;
199;1.801;16.967;-3.622;16.807;502;432;454;379;;
