# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LSj98\LSj98_Encodage-categorisation_set2_14_03_22_2024.02.29_15.52.17.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LSj98\Export_2024-03-01_15-43-43_categorisation.csv
# ExportDate: 01/03/2024 15:43:43
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: LSj98 LSj98
# DateOfBirth: 01/01/1998
# ExamDate: 29/02/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;9.936;7.306;2.426;12.406;435;301;496;354;;
5;9.359;6.432;2.507;12.408;444;304;496;356;;
8;9.597;7.131;2.412;12.764;448;320;496;352;;
12;9.496;7.663;2.656;12.770;446;320;494;347;;
15;9.483;8.074;2.732;12.891;439;320;496;354;;
18;9.316;7.917;2.962;13.255;446;323;496;352;;
22;9.385;8.477;3.053;13.018;446;336;496;354;;
25;9.286;8.882;3.206;13.262;446;336;496;356;;
28;9.362;9.171;3.120;13.379;444;336;496;345;;
32;9.038;8.577;2.947;13.614;446;339;496;347;;
35;9.115;8.863;3.120;13.379;444;339;496;354;;
38;9.015;9.272;3.038;13.377;448;352;496;354;;
42;9.263;9.581;3.124;13.260;446;352;496;354;;
45;9.258;9.722;3.043;13.257;446;352;496;354;;
48;9.072;10.126;3.043;13.257;446;368;496;352;;
52;8.905;9.965;2.775;13.850;448;368;496;352;;
55;9.233;10.430;3.129;13.140;442;368;496;356;;
58;8.965;10.685;3.139;12.901;451;368;496;358;;
62;8.874;10.818;3.129;13.140;446;368;496;354;;
65;8.955;10.972;3.134;13.021;444;368;496;354;;
68;9.373;11.311;3.139;12.901;444;368;496;358;;
72;8.955;10.972;2.876;13.373;446;368;496;356;;
75;8.703;10.799;3.129;13.140;451;368;496;358;;
78;8.944;11.259;3.139;12.901;446;371;496;358;;
82;9.013;11.703;3.053;13.018;448;380;496;356;;
85;8.933;11.548;3.215;13.023;446;384;496;356;;
88;8.842;11.683;3.129;13.140;448;384;492;356;;
92;8.601;11.220;3.139;12.901;448;384;496;358;;
95;8.922;11.838;3.043;13.257;451;384;496;356;;
99;8.836;11.828;3.134;13.021;448;384;496;358;;
102;8.922;11.838;3.134;13.021;448;384;496;358;;
105;8.911;12.130;3.220;12.903;446;387;498;361;;
109;8.893;12.569;2.957;13.375;446;400;496;356;;
112;9.230;12.759;3.134;13.021;444;400;496;358;;
115;9.041;13.181;3.038;13.377;448;396;496;356;;
119;8.710;12.844;3.134;13.021;458;400;496;358;;
122;8.887;12.717;3.201;13.381;446;400;492;358;;
125;8.881;12.864;3.120;13.379;448;400;496;345;;
129;9.053;12.885;3.115;13.499;446;400;490;352;;
132;8.710;12.844;3.057;12.899;448;400;496;358;;
135;8.979;12.580;3.210;13.142;446;400;498;356;;
139;8.807;12.559;3.120;13.379;448;400;496;349;;
142;9.304;13.066;3.206;13.262;446;400;496;356;;
145;9.053;12.885;3.120;13.379;446;400;494;354;;
149;9.059;12.738;3.220;12.903;444;400;498;361;;
152;8.795;12.854;3.287;13.264;448;400;496;356;;
155;8.973;12.727;3.120;13.379;444;400;496;356;;
159;9.047;13.033;3.296;13.025;446;400;500;356;;
162;8.807;12.559;3.296;13.025;448;400;498;358;;
165;8.973;12.727;3.296;13.025;444;400;502;361;;
169;8.801;12.706;3.201;13.381;448;400;498;356;;
172;8.801;12.706;3.378;13.027;448;403;498;356;;
175;8.875;13.012;3.306;12.786;446;400;500;361;;
179;8.875;13.012;3.196;13.501;446;403;498;349;;
182;8.538;12.824;3.296;13.025;453;416;502;358;;
186;8.869;13.160;3.382;12.908;446;403;502;361;;
189;8.875;13.012;3.378;13.027;448;407;502;361;;
192;8.789;13.001;3.196;13.501;448;405;496;356;;
196;8.704;12.991;3.296;13.025;448;405;498;361;;
199;8.532;12.971;3.225;12.784;453;416;502;363;;
202;8.863;13.308;3.033;13.497;448;416;496;352;;
206;8.869;13.160;3.292;13.144;446;414;498;361;;
209;8.532;12.971;3.120;13.379;448;416;498;352;;
212;8.526;13.119;3.120;13.379;448;416;498;361;;
216;8.679;13.585;3.124;13.260;448;416;502;361;;
219;8.943;13.468;3.301;12.906;446;416;498;361;;
222;8.857;13.457;3.301;12.906;446;416;500;361;;
226;8.936;13.617;3.210;13.142;446;416;502;361;;
229;8.758;13.745;3.382;12.908;448;416;500;358;;
232;8.593;13.575;3.301;12.906;451;419;500;358;;
236;8.851;13.606;3.215;13.023;444;416;498;361;;
239;8.857;13.457;3.301;12.906;446;416;494;361;;
242;8.636;12.539;3.157;12.424;446;422;496;363;;
246;8.847;11.538;3.003;12.182;444;423;496;368;;
249;9.207;11.146;2.931;11.942;439;425;496;368;;
252;8.925;9.402;2.824;10.281;439;434;496;397;;
256;8.952;8.567;2.597;9.687;444;454;496;400;;
259;9.158;7.490;2.607;9.334;435;459;496;402;;
262;9.099;6.538;2.457;8.862;442;453;496;409;;
266;9.199;6.015;2.556;8.162;432;457;496;418;;
269;9.472;5.384;2.577;7.230;432;459;496;432;;
273;9.827;4.899;2.898;7.470;443;464;496;418;;
276;10.086;4.798;3.239;6.780;445;446;498;432;Fixation=obj_nat_set2_I_01: trial n°0; 
279;10.690;4.608;3.724;7.026;450;452;496;432;;
283;11.207;4.414;4.469;6.585;455;466;507;432;;
286;11.543;4.717;4.947;7.184;446;462;496;425;;
289;11.719;4.481;5.193;7.193;442;460;496;425;;
293;11.885;4.764;5.190;7.310;437;455;496;418;;
296;11.634;4.470;5.196;7.077;444;462;496;425;;
299;11.546;4.587;5.354;7.316;446;462;496;422;;
303;11.540;4.847;5.196;7.077;439;441;496;422;;
306;11.551;4.329;5.357;7.200;446;458;496;425;;
309;11.551;4.329;5.282;6.849;444;458;496;432;;
313;11.466;4.318;5.367;6.736;446;458;496;432;;
316;11.546;4.587;5.359;7.084;442;434;496;420;;
