# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MCj02\MCj02_Encodage-categorisation_set2_14_03_22_2024.04.22_09.37.59.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MCj02\Export_2024-04-23_19-08-12_categorisation.csv
# ExportDate: 23/04/2024 19:08:12
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: MCj02 MCj02
# DateOfBirth: 01/01/2002
# ExamDate: 22/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 0.99
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;-0.171;6.002;-6.057;6.910;464;386;453;375;;
4;-0.102;6.108;-6.193;6.483;464;387;458;371;;
7;-0.170;6.113;-6.190;6.696;464;389;460;375;;
11;-0.102;6.108;-6.184;7.122;464;380;453;361;;
14;-0.033;6.214;-6.186;7.016;462;365;451;358;;
17;-0.102;6.108;-6.255;6.696;464;384;455;365;;
21;-0.108;5.773;-6.255;6.696;464;393;455;365;;
24;-0.104;5.996;-6.322;6.589;464;375;458;373;;
27;-0.245;5.672;-6.189;6.803;464;393;460;378;;
31;-0.040;5.768;-6.187;6.909;464;393;458;380;;
34;-0.035;6.103;-6.258;6.482;462;373;458;371;;
37;-0.177;5.667;-6.059;6.804;464;393;453;368;;
41;-0.175;5.778;-6.258;6.482;464;393;460;378;;
44;-0.106;5.885;-6.059;6.804;464;393;446;365;;
47;-0.037;5.991;-6.257;6.589;464;393;458;373;;
51;-0.037;5.991;-6.121;7.016;464;380;451;361;;
54;-0.177;5.667;-6.322;6.589;464;393;460;380;;
57;-0.106;5.885;-6.127;6.590;464;393;455;368;;
61;-0.171;6.002;-6.125;6.697;464;393;460;371;;
64;0.033;6.097;-6.128;6.484;464;373;455;368;;
67;-0.035;6.103;-6.125;6.697;462;375;453;368;;
71;-0.173;5.890;-6.057;6.910;464;393;455;368;;
74;-0.175;5.778;-6.059;6.804;464;393;453;361;;
77;-0.104;5.996;-5.995;6.698;462;380;451;371;;
81;-0.104;5.996;-6.260;6.375;464;382;451;368;;
84;-0.175;5.778;-6.190;6.696;464;393;460;368;;
87;-0.106;5.885;-6.127;6.590;464;391;448;368;;
91;-0.106;5.885;-6.323;6.482;464;393;460;368;;
94;-0.175;5.778;-6.056;7.017;464;395;453;358;;
98;-0.106;5.885;-6.320;6.695;464;393;458;380;;
101;-0.110;5.661;-6.258;6.482;464;391;460;380;;
104;-0.035;6.103;-6.320;6.695;462;375;458;378;;
108;-0.108;5.773;-6.323;6.482;464;389;460;380;;
111;-0.037;5.991;-6.323;6.482;464;377;458;368;;
114;-0.033;6.214;-6.125;6.697;462;373;451;371;;
118;0.036;6.320;-6.054;7.123;462;364;451;361;;
121;-0.171;6.002;-6.053;7.229;462;378;453;358;;
124;-0.170;6.113;-6.255;6.696;464;375;458;368;;
128;-0.173;5.890;-6.187;6.909;464;393;451;361;;
131;-0.033;6.214;-6.122;6.910;462;371;451;358;;
134;-0.106;5.885;-6.190;6.696;464;393;458;368;;
138;-0.243;5.784;-6.122;6.910;464;393;451;361;;
141;-0.104;5.996;-6.257;6.589;464;379;458;368;;
144;-0.104;5.996;-6.190;6.696;464;379;460;368;;
148;-0.035;6.103;-6.192;6.590;462;373;451;368;;
151;-0.177;5.667;-6.252;6.909;464;393;460;358;;
154;-0.038;5.880;-6.124;6.803;462;380;453;368;;
158;-0.104;5.996;-6.056;7.017;464;382;453;358;;
161;0.033;6.097;-6.322;6.589;464;368;460;371;;
164;-0.173;5.890;-6.193;6.483;464;388;451;368;;
168;-0.106;5.885;-6.255;6.696;462;391;460;380;;
171;-0.037;5.991;-6.387;6.588;462;375;464;384;;
174;-0.170;6.113;-6.127;6.590;464;371;458;368;;
178;-0.173;5.890;-6.122;6.910;464;393;451;361;;
181;-0.037;5.991;-6.189;6.803;462;371;458;375;;
185;0.104;6.315;-6.186;7.016;462;368;455;358;;
188;-0.104;5.996;-6.056;7.017;464;382;453;358;;
191;-0.106;5.885;-6.325;6.375;464;393;460;389;;
195;-0.104;5.996;-6.258;6.482;464;377;455;371;;
198;-0.243;5.784;-6.255;6.696;464;393;458;368;;
201;-0.029;6.437;-6.322;6.589;462;368;460;382;;
205;-0.243;5.784;-6.317;6.908;464;393;460;361;;
208;-0.243;5.784;-6.255;6.696;464;393;460;368;;
211;-0.239;6.007;-6.260;6.375;464;379;460;368;;
215;-0.243;5.784;-6.189;6.803;464;395;448;358;;
218;-0.035;6.103;-6.387;6.588;462;389;460;382;;
221;-0.175;5.778;-6.325;6.375;464;393;460;391;;
225;-0.106;5.885;-6.127;6.590;464;391;448;368;;
228;-0.108;5.773;-6.258;6.482;464;391;458;368;;
231;-0.035;6.103;-6.125;6.697;462;368;453;371;;
235;-0.037;5.991;-6.192;6.590;462;372;458;371;;
238;-0.108;5.773;-6.124;6.803;464;391;458;371;;
241;-0.104;5.996;-6.192;6.590;464;382;460;371;;
245;-0.175;5.778;-6.387;6.588;464;393;462;382;;
248;-0.171;6.002;-6.322;6.589;464;388;460;384;;
251;-0.108;5.773;-6.455;6.374;464;391;464;388;;
255;-0.171;6.002;-6.388;6.481;464;393;464;393;;
258;-0.040;5.768;-6.254;6.802;464;391;460;384;;
261;-0.241;5.895;-6.323;6.482;464;393;458;370;;
265;-0.106;5.885;-6.190;6.696;464;393;458;365;;
268;-0.106;5.885;-6.251;7.015;464;391;460;358;;
272;-0.108;5.773;-6.388;6.481;464;391;458;368;;
275;-0.245;5.672;-6.319;6.802;464;393;460;368;;
278;-0.106;5.885;-6.384;6.801;464;391;460;361;Fixation=ani_nat_set2_C_04: trial n°0; 
282;-0.245;5.672;-6.390;6.374;464;393;462;382;;
285;-0.245;5.672;-6.255;6.696;464;393;455;361;;
288;-0.243;5.784;-6.320;6.695;464;393;460;371;;
292;0.035;6.209;-6.323;6.482;464;368;460;375;;
295;-0.175;5.778;-6.453;6.481;464;395;464;386;;
298;-0.173;5.890;-6.388;6.481;464;380;462;384;;
302;0.102;6.204;-6.322;6.589;462;371;462;382;;
305;-0.173;5.890;-6.450;6.694;464;389;460;384;;
308;-0.175;5.778;-6.323;6.482;464;391;460;377;;
312;-0.177;5.667;-6.453;6.481;464;395;464;377;;
315;0.100;6.092;-6.388;6.481;462;384;462;377;;
318;-0.108;5.773;-6.388;6.481;464;393;460;368;;
322;-0.038;5.880;-6.322;6.589;462;386;460;380;;
325;-0.177;5.667;-6.452;6.588;464;393;462;384;;
328;-0.110;5.661;-6.323;6.482;464;386;462;377;;
