# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MPj99\MPj99_Encodage-categorisation_set2_14_03_22_2024.06.05_15.45.00.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MPj99\Export_2024-06-06_14-49-49_categorisation.csv
# ExportDate: 06/06/2024 14:49:49
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: MPj99 MPj99
# DateOfBirth: 01/01/1999
# ExamDate: 05/06/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;-2.287;-5.535;-7.370;-6.434;613;516;626;596;;
4;-2.686;-6.111;-7.370;-6.434;613;514;626;599;;
7;-2.221;-5.390;-7.372;-6.363;613;505;626;599;;
10;-2.286;-5.609;-7.432;-6.506;613;514;624;599;;
14;-2.421;-5.679;-7.432;-6.506;613;517;624;599;;
17;-2.353;-5.680;-7.431;-6.577;615;519;624;597;;
21;-2.288;-5.462;-7.431;-6.577;608;509;626;601;;
24;-2.821;-6.181;-7.427;-6.719;620;528;624;595;;
27;-2.287;-5.535;-7.364;-6.717;610;509;624;597;;
31;-2.618;-6.113;-7.427;-6.719;613;528;624;595;;
34;-2.753;-6.182;-7.426;-6.789;615;517;624;594;;
37;-2.749;-6.401;-7.364;-6.717;617;519;624;595;;
41;-2.350;-5.900;-7.424;-6.860;608;519;624;590;;
44;-2.151;-5.538;-7.361;-6.859;613;514;626;581;;
47;-2.284;-5.828;-7.424;-6.860;617;519;624;585;;
51;-2.214;-5.976;-7.424;-6.860;617;526;624;596;;
54;-2.615;-6.331;-7.361;-6.859;617;530;626;597;;
57;-2.350;-5.900;-7.361;-6.859;617;519;626;592;;
61;-2.546;-6.406;-7.361;-6.859;617;521;635;595;;
64;-2.614;-6.404;-7.361;-6.859;615;537;626;596;;
67;-2.215;-5.903;-7.358;-7.001;617;519;626;583;;
71;-2.614;-6.404;-7.426;-6.789;619;535;626;594;;
74;-2.285;-5.682;-7.423;-6.931;605;512;626;595;;
77;-2.284;-5.828;-7.421;-7.002;608;514;626;599;;
81;-2.350;-5.900;-7.423;-6.931;613;524;626;595;;
84;-2.349;-5.973;-7.487;-6.932;617;530;624;590;;
