# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MRj00\MRj00_Encodage-categorisation_set2_14_03_22_2024.04.22_11.34.57.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MRj00\Export_2024-04-23_19-10-22_categorisation.csv
# ExportDate: 23/04/2024 19:10:22
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: MRj00 MRj00
# DateOfBirth: 01/01/2000
# ExamDate: 22/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 0.98
# CorrelationRX: 1.00
# CorrelationRY: 0.97
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;-18.112;3.944;-25.537;2.909;405;405;464;448;;
3;-18.189;3.939;-25.541;2.993;411;407;464;448;;
6;-18.112;3.944;-25.541;2.993;409;416;461;448;;
10;-18.108;3.845;-25.537;2.909;407;400;461;448;Fixation=obj_art_set2_C_01: trial n°0; 
13;-18.189;3.939;-25.608;2.908;407;414;464;448;;
23;-18.189;3.939;-25.541;2.993;405;397;459;448;;
26;-18.260;3.737;-25.533;2.825;409;409;464;448;;
30;-18.334;3.635;-25.537;2.909;409;418;464;448;;
33;-18.038;4.049;-25.537;2.909;407;400;461;448;;
36;-18.186;3.841;-25.608;2.908;407;402;461;448;;
40;-18.186;3.841;-25.537;2.909;407;400;461;448;;
43;-18.182;3.742;-25.541;2.993;407;402;464;448;;
46;-18.182;3.742;-25.537;2.909;409;405;461;448;;
50;-18.186;3.841;-25.533;2.825;409;403;464;448;;
53;-18.186;3.841;-25.537;2.909;411;423;461;448;;
56;-18.186;3.841;-25.461;2.826;407;402;459;448;;
60;-18.192;4.038;-25.537;2.909;407;403;464;448;;
63;-18.189;3.939;-25.541;2.993;409;403;464;448;;
66;-18.115;4.044;-25.470;2.994;409;412;464;448;;
70;-18.115;4.044;-25.470;2.994;407;403;464;448;;
73;-18.115;4.044;-25.541;2.993;407;410;461;448;;
77;-18.189;3.939;-25.474;3.079;409;414;464;451;;
80;-18.189;3.939;-25.466;2.910;409;410;464;448;;
83;-18.206;4.436;-25.474;3.079;405;398;464;451;;
87;-18.115;4.044;-25.550;3.162;409;407;464;451;;
90;-18.192;4.038;-25.470;2.994;407;410;464;448;;
93;-18.112;3.944;-25.474;3.079;411;407;461;448;;
96;-18.192;4.038;-25.474;3.079;407;400;464;451;;
100;-18.192;4.038;-25.470;2.994;411;414;461;448;;
103;-18.189;3.939;-25.541;2.993;411;407;461;448;;
107;-18.189;3.939;-25.546;3.077;407;405;461;453;;
110;-18.189;3.939;-25.474;3.079;407;403;464;451;;
113;-18.112;3.944;-25.541;2.993;407;403;464;448;;
117;-18.186;3.841;-25.541;2.993;409;416;461;448;;
120;-18.189;3.939;-25.541;2.993;409;405;461;448;;
123;-18.115;4.044;-25.541;2.993;409;410;464;448;;
127;-18.192;4.038;-25.541;2.993;411;414;464;451;;
130;-18.263;3.836;-25.541;2.993;409;421;464;451;;
133;-18.115;4.044;-25.541;2.993;409;403;461;448;;
137;-18.192;4.038;-25.541;2.993;409;400;461;448;;
140;-18.112;3.944;-25.541;2.993;407;403;464;448;;
143;-18.112;3.944;-25.537;2.909;409;403;461;448;;
147;-18.196;4.137;-25.470;2.994;407;410;464;448;;
150;-18.186;3.841;-25.537;2.909;409;411;464;448;;
153;-17.964;4.153;-25.613;2.992;400;400;461;448;;
157;-18.112;3.944;-25.537;2.909;413;416;464;448;;
160;-18.112;3.944;-25.537;2.909;416;405;464;448;;
163;-18.266;3.934;-25.541;2.993;409;405;464;448;;
167;-18.108;3.845;-25.608;2.908;409;409;464;448;;
170;-18.196;4.137;-25.533;2.825;405;395;464;448;;
173;-18.108;3.845;-25.537;2.909;409;416;464;448;;
177;-18.189;3.939;-25.537;2.909;409;407;461;448;;
180;-18.189;3.939;-25.537;2.909;409;407;461;448;;
184;-18.186;3.841;-25.537;2.909;411;413;461;448;;
