# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\NGa56\NGa56_Encodage-categorisation_set2_14_03_22_2023.04.12_15.44.29.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\NGa56\Export_2023-07-17_09-00-59_categorisation.csv
# ExportDate: 17/07/2023 09:00:59
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: NGa56 NGa56
# DateOfBirth: 01/01/1956
# ExamDate: 12/04/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 0.96
# CorrelationLY: 0.95
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;1.036;8.442;-7.147;9.633;403;275;397;395;;
5;1.036;8.442;-7.147;9.633;412;279;400;397;;
8;-54.655;356.025;-7.140;9.728;183;16;397;400;;
12;1.057;8.265;-6.989;9.537;396;275;400;400;;
15;-7.259;-5.536;-7.071;9.538;0;0;400;400;;
18;-7.259;-5.536;-7.071;9.538;0;0;403;412;;
22;-7.259;-5.536;-7.065;9.633;0;0;400;403;;
25;0.794;8.417;-7.229;9.633;400;272;412;419;;
28;-54.655;356.025;-6.976;9.727;183;16;400;398;;
32;-7.259;-5.536;-7.058;9.728;0;0;403;409;;
35;0.936;8.252;-6.989;9.537;382;272;400;389;;
38;0.622;8.309;-7.058;9.728;396;272;397;388;;
42;-52.723;331.280;-6.996;9.442;119;16;403;402;;
45;0.622;8.309;-7.147;9.633;384;272;410;407;;
48;-7.259;-5.536;-6.983;9.633;0;0;400;400;;
52;0.602;8.487;-7.071;9.538;398;272;405;420;;
55;0.431;8.380;-6.989;9.537;398;272;400;393;;
58;0.310;8.368;-6.901;9.632;409;272;400;395;;
62;0.794;8.417;-6.996;9.442;382;272;403;418;;
65;0.431;8.380;-7.298;9.823;402;272;412;418;;
68;-7.259;-5.536;-6.963;9.917;0;0;400;414;;
72;0.239;8.452;-6.976;9.727;412;275;400;400;;
75;0.410;8.559;-7.078;9.442;405;275;403;421;;
78;-0.122;8.418;-6.894;9.727;414;275;400;395;;
82;0.069;8.345;-7.071;9.538;405;279;403;409;;
85;0.481;8.475;-6.970;9.822;398;275;400;414;;
88;0.410;8.559;-6.888;9.822;398;279;403;416;;
92;0.118;8.441;-6.976;9.727;405;277;400;414;;
95;0.531;8.570;-6.894;9.727;396;277;400;397;;
99;-17.172;126.803;-6.894;9.727;0;0;400;407;;
