# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RVj99_\RVj99\RVj99_Encodage-catégorisation_set2_14_03_22_2022.04.05_15.31.21.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RVj99_\RVj99\Export_2023-03-24_16-55-49_categorisation.csv
# ExportDate: 24/03/2023 16:55:49
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: RVj99 RVj99
# DateOfBirth: 11/11/1999
# ExamDate: 05/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;1.535;4.102;-4.925;3.855;430;395;446;394;;
4;1.363;4.310;-4.925;3.855;434;384;451;398;;
7;1.782;4.209;-4.928;3.539;448;382;464;396;;
11;1.523;4.522;-5.005;4.178;434;393;451;403;;
14;1.449;4.206;-5.093;3.763;432;386;450;398;;
17;1.690;4.524;-5.173;4.086;432;384;460;391;;
21;1.440;4.521;-5.171;4.297;428;402;448;403;;
24;1.609;4.418;-5.424;4.106;443;414;466;400;;
27;1.437;4.627;-5.172;4.191;445;430;448;398;;
31;1.268;4.730;-4.923;4.066;432;409;460;400;;
34;1.446;4.311;-5.175;3.875;443;384;458;398;;
37;1.529;4.312;-5.092;3.868;430;384;446;391;;
41;1.532;4.207;-5.008;3.861;434;393;453;396;;
44;1.615;4.207;-5.009;3.756;441;395;444;394;;
47;1.440;4.521;-5.092;3.868;434;396;462;396;;
51;1.535;4.102;-4.845;3.532;432;397;457;398;;
54;1.443;4.416;-4.757;3.947;432;418;446;405;;
57;1.452;4.101;-5.257;4.092;434;416;453;398;;
61;1.360;4.416;-5.010;3.651;438;386;458;396;;
64;1.615;4.207;-5.094;3.657;445;414;457;387;;
67;1.538;3.997;-5.175;3.875;430;400;455;400;;
71;1.609;4.418;-5.175;3.875;443;390;464;403;;
74;1.437;4.627;-5.339;4.205;438;413;455;403;;
77;1.277;4.415;-5.342;3.888;432;389;458;387;;
81;1.449;4.206;-5.093;3.763;434;382;460;396;;
84;1.449;4.206;-5.095;3.552;438;393;460;384;;
87;1.366;4.205;-5.176;3.769;436;390;446;387;;
91;1.449;4.206;-5.258;3.987;434;390;451;398;;
94;1.606;4.523;-5.338;4.310;441;418;451;398;;
98;1.612;4.313;-5.006;4.072;448;402;461;400;;
101;1.455;3.996;-5.177;3.664;438;396;457;398;;
104;1.615;4.207;-5.010;3.651;441;390;448;396;;
108;1.618;4.102;-5.174;3.980;439;398;473;410;;
111;1.363;4.310;-5.171;4.297;432;390;446;396;;
114;1.532;4.207;-4.924;3.960;430;389;464;400;;
118;1.369;4.100;-5.176;3.769;436;400;442;389;;
121;1.701;4.103;-4.926;3.749;444;395;462;394;;
124;1.452;4.101;-4.925;3.855;436;389;455;391;;
128;1.532;4.207;-5.177;3.664;428;390;460;396;;
131;1.701;4.103;-5.258;3.987;439;397;451;396;;
134;1.529;4.312;-5.178;3.559;443;378;451;387;;
138;1.526;4.417;-5.177;3.664;439;391;451;396;;
141;1.699;4.208;-5.177;3.664;448;397;466;394;;
