# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\SKa56\SKa56_Encodage-categorisation_set2_14_03_22_2023.06.05_15.19.45.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\SKa56\Export_2023-07-17_09-02-43_categorisation.csv
# ExportDate: 17/07/2023 09:02:43
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: SKa56 SKa56
# DateOfBirth: 01/01/1956
# ExamDate: 05/06/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;6.693;3.302;0.260;3.224;429;288;403;256;;
3;6.693;3.302;0.500;3.112;432;290;407;256;;
6;6.696;3.192;0.336;3.457;432;286;405;240;;
10;6.530;3.289;0.416;3.459;429;288;403;240;;
13;6.609;3.405;0.414;3.575;432;288;400;240;;
16;6.445;3.393;0.494;3.576;429;288;400;240;;
20;6.448;3.283;0.653;3.579;427;288;403;253;;
23;6.532;3.179;0.414;3.575;430;288;403;242;;
26;6.609;3.405;0.650;3.811;435;290;400;242;;
30;6.524;3.509;0.730;3.813;429;288;400;242;;
33;6.611;3.295;0.570;3.810;429;288;400;240;;
36;6.442;3.503;0.414;3.575;432;288;403;249;;
40;6.530;3.289;0.570;3.810;442;304;400;240;;
43;6.527;3.399;0.497;3.344;432;288;403;256;;
46;6.527;3.399;0.570;3.810;432;288;403;240;;
50;6.442;3.503;0.650;3.811;439;288;400;240;;
53;6.439;3.613;0.572;3.694;432;291;400;240;;
56;6.524;3.509;0.575;3.462;429;288;407;256;;
60;6.448;3.283;0.570;3.810;425;288;400;242;;
63;6.360;3.496;0.492;3.692;439;288;403;244;;
66;6.445;3.393;0.570;3.810;422;290;405;242;;
70;6.521;3.619;0.332;3.805;432;288;405;242;;
73;6.273;3.710;0.411;3.807;432;294;403;242;;
76;6.445;3.393;0.413;3.691;439;297;407;249;;
80;6.606;3.516;0.491;3.808;429;295;400;240;;
83;6.693;3.302;0.421;3.111;429;288;400;256;;
86;6.515;3.840;0.335;3.573;429;295;400;240;;
90;6.442;3.503;0.489;3.924;432;293;405;240;;
93;6.518;3.730;0.570;3.810;427;302;400;242;;
97;6.442;3.503;0.570;3.810;429;309;400;240;;
100;6.439;3.613;0.570;3.810;436;299;400;242;;
103;6.360;3.496;0.489;3.924;436;294;400;240;;
107;6.360;3.496;0.494;3.576;432;294;400;253;;
110;6.273;3.710;0.569;3.926;439;306;405;240;;
113;6.606;3.516;0.491;3.808;429;288;400;242;;
117;6.442;3.503;0.417;3.343;429;308;405;256;;
120;6.436;3.723;0.419;3.227;429;306;403;256;;
123;6.439;3.613;0.577;3.346;429;290;400;256;;
127;6.354;3.717;0.570;3.810;436;311;400;242;;
130;6.521;3.619;0.491;3.808;435;293;400;242;;
133;6.442;3.503;0.335;3.573;432;291;400;242;;
137;6.611;3.295;0.254;3.688;429;290;410;249;;
140;6.530;3.289;0.410;3.923;429;294;407;240;;
143;6.278;3.490;0.417;3.343;432;297;405;263;;
147;6.524;3.509;0.335;3.573;432;299;403;242;;
150;6.354;3.717;0.499;3.228;429;300;407;256;;
153;6.275;3.600;0.341;3.109;439;299;407;256;;
157;6.360;3.496;0.332;3.805;443;314;407;242;;
160;6.521;3.619;0.414;3.575;435;307;403;253;;
163;6.357;3.607;0.419;3.227;432;309;407;256;;
167;6.357;3.607;0.343;2.993;429;290;400;256;;
170;6.439;3.613;0.577;3.346;432;301;400;256;;
173;6.360;3.496;0.411;3.807;427;288;397;240;;
177;6.772;3.418;0.416;3.459;434;311;403;256;;
180;6.524;3.509;0.499;3.228;432;290;405;256;;
184;6.532;3.179;0.421;3.111;432;307;412;256;;
187;6.530;3.289;0.421;3.111;432;304;400;256;;
190;6.363;3.386;0.419;3.227;432;299;407;256;;
194;6.439;3.613;0.414;3.575;439;320;400;256;;
197;6.693;3.302;0.332;3.805;429;297;407;240;;
200;6.778;3.198;0.417;3.343;429;307;400;256;;
204;6.690;3.412;0.660;3.115;432;304;400;256;;
207;6.942;3.212;1.137;3.124;432;309;398;256;;
210;7.286;2.580;1.224;2.661;434;320;396;258;;
214;8.028;2.532;2.347;2.219;454;320;416;272;;
217;8.860;2.167;2.989;2.001;445;320;403;272;;
220;9.453;1.565;3.232;1.775;432;307;400;272;;
224;9.620;1.471;3.556;1.550;432;304;400;263;;
227;9.788;1.378;3.396;1.546;434;304;400;272;;
230;10.037;1.292;3.636;1.552;438;304;400;272;;
234;10.045;0.966;3.563;1.201;441;304;400;263;;
237;9.963;0.959;3.718;1.437;448;304;400;270;;
240;10.043;1.075;3.643;1.203;445;307;400;259;;
244;10.045;0.966;3.561;1.317;441;304;400;259;;
247;10.048;0.858;3.561;1.317;438;304;400;266;;
250;10.045;0.966;3.558;1.433;434;304;400;272;;
254;10.208;1.090;3.556;1.550;445;307;400;272;;
257;10.043;1.075;3.638;1.435;441;309;400;270;;
260;10.213;0.873;3.561;1.317;438;304;400;266;;
264;9.795;1.052;3.636;1.552;438;307;400;272;;
267;9.960;1.067;3.877;1.442;438;309;396;270;;
271;10.043;1.075;3.797;1.440;436;311;396;270;;
274;10.040;1.183;3.800;1.323;438;311;396;272;;
277;9.963;0.959;3.558;1.433;430;304;400;272;;
281;10.043;1.075;3.715;1.554;441;307;398;272;;
284;9.880;0.951;3.636;1.552;434;304;400;272;;
287;9.958;1.176;3.558;1.433;438;311;400;268;;
291;9.875;1.168;3.718;1.437;438;311;396;270;Fixation=obj_nat_set2_I_09: trial n°0; 
294;10.037;1.292;3.636;1.552;438;320;400;272;;
297;9.960;1.067;3.715;1.554;434;304;400;272;;
301;10.040;1.183;3.795;1.556;438;316;396;272;;
304;9.963;0.959;3.715;1.554;434;307;398;272;;
307;10.043;1.075;3.797;1.440;434;307;404;270;;
311;10.128;0.974;3.800;1.323;434;307;398;266;;
314;9.793;1.160;3.718;1.437;438;316;402;270;;
317;9.958;1.176;3.797;1.440;438;304;398;270;;
321;9.960;1.067;3.795;1.556;438;316;396;272;;
324;10.125;1.083;3.800;1.323;438;311;394;263;;
327;10.123;1.191;3.879;1.325;445;316;398;268;;
331;9.878;1.059;3.715;1.554;438;316;400;272;;
334;10.043;1.075;3.795;1.556;441;311;396;272;;
337;10.043;1.075;3.877;1.442;450;309;394;272;;
341;10.043;1.075;3.962;1.211;436;311;396;263;;
