# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\VDj99\VDj99_Encodage-categorisation_set2_14_03_22_2024.06.05_11.36.25.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\VDj99\Export_2024-06-06_14-48-16_categorisation.csv
# ExportDate: 06/06/2024 14:48:16
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: VDj99 VDj99
# DateOfBirth: 01/01/1999
# ExamDate: 05/06/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;3.849;5.207;-3.643;3.812;349;313;388;336;;
4;3.921;5.209;-3.647;3.915;347;311;390;336;;
7;3.856;5.106;-3.711;3.812;349;304;388;336;;
11;3.928;5.108;-3.643;3.812;347;307;381;336;;
14;3.856;5.106;-3.780;3.812;349;307;382;336;;
17;3.849;5.207;-3.707;3.710;347;311;388;336;;
21;3.777;5.206;-3.643;3.812;345;304;388;333;;
24;3.856;5.106;-3.643;3.812;347;307;390;336;;
27;3.856;5.106;-3.780;3.812;347;307;379;336;;
31;3.921;5.209;-3.643;3.812;347;311;388;336;;
34;3.856;5.106;-3.652;4.017;347;304;386;336;;
37;3.921;5.209;-3.574;3.812;347;304;386;334;;
41;3.914;5.310;-3.574;3.812;356;316;386;336;;
44;3.849;5.207;-3.579;3.915;354;309;393;336;;
47;3.928;5.108;-3.579;3.915;354;320;377;333;;
51;3.856;5.106;-3.438;3.813;347;307;393;336;;
54;3.928;5.108;-3.506;3.812;352;307;395;336;;
57;3.928;5.108;-3.506;3.812;352;311;393;336;;
61;3.934;5.007;-3.647;3.915;354;313;388;336;;
64;3.986;5.312;-3.574;3.812;345;304;388;336;;
67;3.849;5.207;-3.511;3.915;352;313;395;336;;
71;3.856;5.106;-3.570;3.710;357;318;390;336;;
74;3.849;5.207;-3.506;3.812;349;307;393;336;;
77;3.999;5.110;-3.643;3.812;356;306;388;336;;
81;3.856;5.106;-3.574;3.812;345;307;393;336;;
84;3.849;5.207;-3.506;3.812;347;307;390;336;;
87;3.849;5.207;-3.647;3.915;347;311;393;336;;
91;3.856;5.106;-3.716;3.915;349;304;382;336;;
94;3.934;5.007;-3.515;4.018;352;306;391;336;;
98;3.849;5.207;-3.574;3.812;347;311;393;336;;
101;3.856;5.106;-3.643;3.812;347;307;390;336;;
104;3.928;5.108;-3.716;3.915;347;304;386;333;;
108;3.921;5.209;-3.574;3.812;354;311;395;336;;
111;3.856;5.106;-3.716;3.915;349;311;384;336;;
114;3.921;5.209;-3.647;3.915;347;304;388;336;;
118;3.856;5.106;-3.574;3.812;345;313;393;336;;
121;3.928;5.108;-3.506;3.812;354;313;393;336;;
124;3.856;5.106;-3.506;3.812;352;307;395;336;;
128;3.777;5.206;-3.511;3.915;361;315;393;336;;
131;3.928;5.108;-3.647;3.915;356;317;393;336;;
134;3.849;5.207;-3.574;3.812;352;318;395;336;;
138;3.849;5.207;-3.707;3.710;352;311;384;336;;
141;3.856;5.106;-3.574;3.812;347;307;390;336;;
144;3.928;5.108;-3.579;3.915;347;311;393;336;;
148;3.993;5.211;-3.647;3.915;354;313;393;336;;
151;3.849;5.207;-3.647;3.915;347;313;390;336;Fixation=ani_art_set2_I_10: trial n°0; 
154;3.856;5.106;-3.784;3.915;347;309;384;336;;
158;3.856;5.106;-3.511;3.915;352;315;395;336;;
161;3.777;5.206;-3.711;3.812;359;315;388;336;;
164;3.921;5.209;-3.574;3.812;354;324;393;336;;
168;3.856;5.106;-3.643;3.812;352;320;390;336;;
171;3.843;5.308;-3.716;3.915;347;314;379;336;;
175;3.843;5.308;-3.574;3.812;349;314;393;336;;
178;3.784;5.105;-3.574;3.812;359;320;395;336;;
181;3.849;5.207;-3.506;3.812;357;320;395;336;;
185;3.856;5.106;-3.643;3.812;352;311;386;336;;
188;3.928;5.108;-3.579;3.915;356;323;393;336;;
191;3.921;5.209;-3.574;3.812;354;320;395;336;;
195;3.849;5.207;-3.647;3.915;349;313;390;336;;
198;3.849;5.207;-3.574;3.812;347;304;393;336;;
201;3.921;5.209;-3.574;3.812;354;313;395;336;;
205;3.784;5.105;-3.574;3.812;354;320;393;336;;
208;3.928;5.108;-3.574;3.812;357;317;395;336;;
211;3.928;5.108;-3.574;3.812;352;320;393;336;;
215;3.928;5.108;-3.502;3.710;349;311;393;336;;
218;4.006;5.009;-3.574;3.812;356;317;393;336;;
221;3.993;5.211;-3.574;3.812;352;313;393;336;;
225;4.006;5.009;-3.502;3.710;352;320;395;336;;
228;3.921;5.209;-3.574;3.812;349;307;395;336;;
231;3.921;5.209;-3.502;3.710;356;314;395;336;;
235;3.999;5.110;-3.506;3.812;354;309;393;336;;
238;4.006;5.009;-3.506;3.812;356;313;395;336;;
241;4.078;5.011;-3.433;3.710;361;330;395;336;;
245;4.065;5.213;-3.506;3.812;358;322;393;336;;
248;3.999;5.110;-3.506;3.812;358;317;395;336;;
251;4.078;5.011;-3.506;3.812;361;317;395;336;;
255;4.071;5.112;-3.506;3.812;358;311;395;336;;
258;3.993;5.211;-3.506;3.812;356;311;393;336;;
261;4.078;5.011;-3.502;3.710;356;320;395;336;;
265;4.065;5.213;-3.369;3.813;356;309;395;336;;
268;4.071;5.112;-3.433;3.710;364;323;397;339;;
272;4.137;5.215;-3.433;3.710;358;315;395;339;;
275;4.143;5.114;-3.365;3.710;361;315;395;336;;
278;4.143;5.114;-3.502;3.710;363;315;395;336;;
282;4.143;5.114;-3.447;4.018;356;313;391;336;;
285;4.150;5.014;-3.365;3.710;363;323;400;336;;
288;4.215;5.117;-3.438;3.813;356;309;397;336;;
292;4.287;5.119;-3.365;3.710;361;304;395;336;;
295;4.209;5.218;-3.433;3.710;361;307;395;336;;
298;4.287;5.119;-3.369;3.813;363;313;397;336;;
302;4.215;5.117;-3.369;3.813;363;313;395;336;;
305;4.215;5.117;-3.433;3.710;363;307;395;336;;
308;4.215;5.117;-3.296;3.711;363;329;400;336;;
312;4.294;5.018;-3.301;3.813;358;309;397;339;;
315;4.222;5.016;-3.369;3.813;363;327;397;339;;
318;4.287;5.119;-3.369;3.813;363;323;397;336;;
322;4.137;5.215;-3.438;3.813;361;313;395;336;;
325;4.215;5.117;-3.506;3.812;361;311;395;336;;
328;4.137;5.215;-3.369;3.813;358;309;397;336;;
